,epsilon_progress,nfe
0,0,0
1,25,100
2,154,1173
3,204,2255
4,219,3331
5,222,4414
6,225,5483
7,226,6565
8,229,7641
9,229,8725
10,229,9802
11,296,10839
12,354,11923
13,392,13008
14,415,14097
15,437,15188
16,448,16267
17,459,17353
18,464,18438
19,477,19520
20,490,20602
21,493,21687
22,497,22777
23,501,23867
24,512,24946
25,521,26024
26,525,27106
27,528,28188
28,534,29270
29,537,30355
30,539,31440
31,545,32523
32,546,33607
33,549,34690
34,551,35773
35,553,36865
36,554,37954
37,556,39037
38,556,40109
39,557,41191
40,558,42281
41,558,43373
42,560,44453
43,561,45535
44,561,46622
45,562,47710
46,564,48793
47,565,49878
48,565,50969
49,566,52063
50,567,53151
51,570,54243
52,570,55324
53,573,56407
54,574,57481
55,574,58557
56,578,59638
57,578,60718
58,580,61803
59,581,62894
60,582,63976
61,583,65053
62,583,66141
63,583,67225
64,583,68311
65,585,69388
66,588,70477
67,588,71559
68,590,72636
69,590,73723
70,590,74807
71,590,75893
72,593,76971
73,594,78040
74,594,79108
75,596,80188
76,597,81273
77,597,82360
78,597,83432
79,599,84517
80,600,85592
81,603,86660
82,605,87746
83,606,88829
84,606,89914
85,608,90997
86,608,92082
87,609,93167
88,610,94249
89,612,95322
90,613,96407
91,614,97486
92,615,98560
93,615,99634
94,615,100719
95,616,101801
96,617,102878
97,618,103963
98,619,105046
99,619,106126
100,619,107210
101,619,108282
102,620,109359
103,621,110440
104,622,111523
105,622,112599
106,622,113687
107,622,114784
108,622,115865
109,622,116944
110,624,118026
111,624,119104
112,624,120176
113,624,121258
114,625,122338
115,625,123416
116,625,124497
117,625,125577
118,626,126664
119,626,127743
120,627,128819
121,627,129899
122,628,130981
123,628,132069
124,629,133153
125,629,134236
126,630,135315
127,630,136396
128,630,137486
129,632,138561
130,632,139642
131,633,140714
132,633,141794
133,633,142878
134,633,143944
135,633,145020
136,633,146098
137,633,147176
138,633,148254
139,633,149337
140,633,150423
141,633,151512
142,635,152598
143,635,153677
144,635,154753
145,635,155837
146,635,156919
147,635,158004
148,635,159089
149,635,160168
150,635,161258
151,635,162339
152,637,163416
153,637,164500
154,637,165576
155,637,166664
156,637,167743
157,637,168833
158,637,169912
159,638,170996
160,639,172081
161,639,173165
162,639,174243
163,639,175326
164,639,176414
165,639,177489
166,639,178565
167,640,179654
168,640,180746
169,641,181834
170,641,182913
171,641,183999
172,641,185086
173,641,186178
174,641,187259
175,641,188343
176,641,189421
177,641,190462
178,650,191576
179,651,192695
180,651,193805
181,651,194914
182,651,196035
183,651,197151
184,652,198270
185,652,199381
