,epsilon_progress,nfe
0,0,0
1,45,100
2,574,1186
3,1063,2245
4,1484,3328
5,1833,4406
6,2118,5493
7,2381,6570
8,2690,7653
9,2918,8726
10,3168,9802
11,4332,15392
12,5570,22711
13,7244,30026
14,8722,37332
15,10008,44652
16,11102,51970
17,12122,59276
18,13022,66578
19,13884,73878
20,14627,81165
21,15355,88484
22,16029,95777
23,16658,103078
24,17251,110361
25,17829,117657
26,18373,124964
27,18863,132248
28,19318,139541
29,19795,146857
30,20252,154155
31,20684,161453
32,21131,168769
33,21528,176071
34,21910,183377
35,22287,190668
36,22655,197982
37,22993,205286
