,epsilon_progress,nfe
0,0,0
1,6,100
2,21,1174
3,30,2255
4,32,3333
5,35,4411
6,39,5499
7,39,6580
8,43,7656
9,45,8736
10,46,9826
11,46,10904
12,46,11981
13,48,13063
14,48,14134
15,50,15211
16,51,16296
17,51,17361
18,52,18440
19,52,19511
20,52,20586
21,52,21669
22,53,22745
23,53,23822
24,53,24890
25,53,25972
26,53,27046
27,53,28115
28,53,29200
29,53,30276
30,53,31355
31,53,32430
32,53,33509
33,53,34588
34,53,35663
35,53,36737
36,53,37815
37,53,38897
38,53,39972
39,53,41054
40,53,42125
41,53,43214
42,53,44296
43,53,45380
44,53,46450
45,53,47531
46,53,48599
47,53,49683
48,53,50760
49,53,51842
50,53,52921
51,53,53995
52,53,55069
53,54,56153
54,54,57236
55,54,58305
56,54,59381
57,54,60455
58,54,61529
59,54,62613
60,54,63692
61,54,64776
62,54,65859
63,54,66938
64,54,68016
65,54,69098
66,54,70176
67,54,71253
68,54,72334
69,54,73418
70,54,74498
71,54,75562
72,54,76642
73,54,77727
74,54,78806
75,54,79878
76,54,80947
77,54,82023
78,54,83099
79,54,84183
80,54,85258
81,54,86341
82,54,87410
83,54,88490
84,54,89572
85,54,90640
86,54,91720
87,54,92801
88,54,93887
89,54,94956
90,54,96027
91,54,97092
92,54,98094
93,54,99100
94,54,100105
95,54,101106
96,54,102107
97,54,103113
98,54,104116
99,54,105123
100,54,106126
101,54,107132
102,54,108141
103,54,109146
104,54,110152
105,54,111157
106,54,112162
107,54,113167
108,54,114167
109,54,115169
110,54,116170
111,54,117171
112,54,118178
113,54,119182
114,54,120182
115,54,121189
116,54,122189
117,54,123193
118,54,124200
119,55,125209
120,55,126210
121,55,127216
122,56,128224
123,56,129230
124,56,130238
125,56,131246
126,56,132252
127,56,133253
128,56,134253
129,56,135262
130,56,136268
131,56,137272
132,56,138281
133,56,139285
134,56,140289
135,56,141298
136,56,142304
137,56,143305
138,56,144314
139,56,145315
140,56,146319
141,56,147326
142,56,148333
143,56,149336
144,56,150342
145,56,151347
146,56,152351
147,56,153351
148,56,154357
149,56,155359
150,56,156366
151,56,157374
152,56,158377
153,56,159384
154,56,160385
155,56,161386
156,56,162390
157,56,163391
158,56,164400
159,56,165407
160,56,166408
161,56,167408
162,56,168410
163,56,169410
164,56,170416
165,56,171417
166,56,172417
167,56,173426
168,56,174430
169,56,175430
170,56,176438
171,56,177447
172,56,178454
173,56,179459
174,56,180464
175,56,181469
176,56,182470
177,56,183471
178,56,184480
179,56,185483
180,56,186483
181,56,187490
182,56,188493
183,56,189498
184,56,190506
185,56,191510
186,56,192517
187,56,193522
188,56,194522
189,56,195525
190,56,196525
191,56,197531
192,56,198535
193,56,199543
