,epsilon_progress,nfe
0,0,0
1,12,100
2,108,1183
3,225,2257
4,295,3337
5,318,4418
6,339,5494
7,362,6579
8,385,7653
9,395,8736
10,404,9817
11,442,10858
12,452,11943
13,458,13027
14,459,14107
15,463,15193
16,470,16269
17,471,17358
18,473,18437
19,475,19528
20,478,20610
21,482,21693
22,489,22773
23,493,23855
24,494,24945
25,499,26032
26,502,27118
27,505,28203
28,507,29289
29,508,30379
30,509,31468
31,511,32547
32,511,33626
33,511,34704
34,515,35788
35,517,36871
36,519,37964
37,519,39054
38,519,40136
39,519,41220
40,519,42296
41,519,43380
42,520,44462
43,520,45552
44,520,46635
45,520,47719
46,520,48793
47,520,49874
48,522,50959
49,525,52050
50,528,53135
51,528,54216
52,528,55300
53,528,56392
54,528,57475
55,530,58560
56,533,59643
57,534,60718
58,535,61810
59,535,62898
60,535,63986
61,535,65061
62,536,66135
63,537,67222
64,538,68299
65,538,69375
66,540,70462
67,540,71537
68,543,72620
69,543,73708
70,543,74780
71,546,75866
72,547,76939
73,547,78012
74,547,79103
75,547,80179
76,549,81267
77,549,82354
78,550,83439
79,550,84514
80,552,85599
81,553,86675
82,554,87763
83,554,88845
84,554,89927
85,557,91015
86,558,92103
87,558,93182
88,558,94264
89,558,95342
90,558,96432
91,560,97515
92,561,98597
93,563,99680
94,563,100760
95,563,101840
96,563,102927
97,563,104008
98,564,105083
99,564,106158
100,565,107247
101,566,108325
102,566,109408
103,566,110483
104,567,111568
105,567,112648
106,567,113725
107,567,114819
108,568,115906
109,568,116988
110,569,118065
111,571,119145
112,572,120223
113,572,121310
114,572,122395
115,572,123477
116,572,124559
117,573,125647
118,573,126733
119,573,127814
120,574,128887
121,574,129969
122,577,131050
123,577,132136
124,579,133218
125,579,134294
126,580,135379
127,581,136454
128,584,137532
129,584,138619
130,585,139708
131,585,140786
132,585,141868
133,586,142956
134,586,144040
135,586,145115
136,586,146192
137,586,147269
138,588,148356
139,589,149439
140,592,150522
141,592,151609
142,592,152693
143,592,153769
144,593,154846
145,594,155932
146,596,157018
147,596,158095
148,598,159182
149,598,160259
150,598,161345
151,598,162434
152,600,163515
153,601,164602
154,601,165680
155,602,166754
156,602,167830
157,602,168921
158,602,170004
159,602,171089
160,602,172171
161,602,173254
162,604,174333
163,605,175413
164,605,176489
165,606,177568
166,606,178648
167,606,179735
168,606,180817
169,606,181891
170,606,182973
171,607,184064
172,607,185147
173,607,186236
174,609,187312
175,609,188393
176,609,189476
177,609,190522
178,613,191654
179,613,192781
180,613,193912
181,614,195041
182,614,196166
183,614,197292
184,614,198419
185,614,199555
