,epsilon_progress,nfe
0,0,0
1,12,100
2,50,1177
3,76,2257
4,92,3347
5,93,4421
6,94,5505
7,98,6588
8,99,7667
9,99,8737
10,101,9814
11,119,10836
12,119,11857
13,147,12888
14,147,13894
15,147,14908
16,147,15915
17,147,16917
18,148,17927
19,148,18939
20,148,19950
21,148,20959
22,149,21964
23,149,23000
24,149,24002
25,149,25013
26,149,26015
27,149,27023
28,149,28029
29,149,29040
30,149,30051
31,149,31061
32,149,32071
33,149,33076
34,149,34083
35,149,35091
36,150,36097
37,150,37105
38,150,38111
39,150,39118
40,150,40125
41,150,41130
42,150,42140
43,150,43152
44,150,44165
45,150,45169
46,150,46171
47,151,47173
48,151,48174
49,151,49179
50,162,50201
51,175,51201
52,175,52203
53,181,53206
54,182,54210
55,183,55221
56,184,56223
57,184,57231
58,185,58235
59,186,59241
60,186,60248
61,186,61265
62,188,62268
63,189,63275
64,190,64276
65,190,65276
66,191,66276
67,191,67277
68,191,68280
69,191,69298
70,191,70301
71,191,71306
72,192,72335
73,192,73341
74,192,74367
75,193,75376
76,193,76379
77,194,77387
78,194,78417
79,194,79424
80,194,80451
81,196,81475
82,197,82480
83,197,83484
84,197,84486
85,197,85494
86,197,86499
87,197,87501
88,197,88506
89,197,89516
90,197,90523
91,197,91531
92,197,92538
93,197,93542
94,197,94578
95,197,95582
96,197,96586
97,197,97589
98,197,98590
99,197,99597
100,197,100606
101,197,101609
102,197,102611
103,197,103611
104,197,104616
105,197,105624
106,197,106633
107,197,107646
108,197,108660
109,197,109671
110,197,110683
111,197,111693
112,197,112698
113,197,113707
114,197,114715
115,198,115726
116,198,116731
117,198,117738
118,200,118763
119,200,119777
120,200,120813
121,200,121850
122,200,122856
123,200,123862
124,200,124873
125,200,125883
126,200,126890
127,200,127927
128,200,128934
129,200,129937
130,200,130952
131,200,131958
132,201,132958
133,201,133963
134,201,134964
135,201,135967
136,201,136980
137,201,137989
138,201,139026
139,201,140038
140,201,141046
141,201,142052
142,201,143054
143,201,144088
144,201,145097
145,201,146101
146,201,147113
147,201,148113
148,202,149114
149,203,150116
150,203,151119
151,203,152124
152,203,153126
153,203,154135
154,203,155139
155,206,156168
156,206,157174
157,206,158183
158,206,159194
159,206,160229
160,206,161235
161,206,162247
162,206,163252
163,206,164258
164,206,165263
165,206,166265
166,206,167299
167,206,168304
168,206,169306
169,206,170311
170,206,171313
171,206,172317
172,206,173323
173,206,174332
174,206,175341
175,206,176378
176,206,177386
177,206,178392
178,206,179404
179,206,180407
180,206,181417
181,206,182424
182,206,183434
183,206,184435
184,206,185441
185,206,186449
186,206,187463
187,206,188469
188,206,189470
189,206,190475
190,206,191479
191,206,192513
192,210,193545
193,210,194559
194,210,195566
195,210,196570
196,210,197579
197,210,198592
198,211,199597
