,epsilon_progress,nfe
0,0,0
1,12,100
2,80,1182
3,383,2263
4,720,3333
5,963,4405
6,1203,5494
7,1368,6567
8,1484,7651
9,1579,8729
10,1679,9803
11,1679,10929
12,1764,12396
13,1908,13871
14,2060,15334
15,2199,16805
16,2290,18273
17,2371,19743
18,2451,21214
19,2527,22686
20,2588,24168
21,2647,25639
22,2689,27107
23,2737,28587
24,2775,30065
25,2818,31552
26,2864,33023
27,2893,34495
28,2918,35969
29,2958,37439
30,2983,38910
31,3018,40378
32,3046,41848
33,3075,43326
34,3107,44796
35,3132,46269
36,3161,47743
37,3186,49217
38,3203,50689
39,3223,52163
40,3238,53634
41,3259,55106
42,3273,56578
43,3291,58060
44,3306,59539
45,3323,61012
46,3336,62488
47,3350,63956
48,3368,65431
49,3385,66909
50,3399,68382
51,3413,69851
52,3424,71323
53,3434,72796
54,3442,74265
55,3451,75726
56,3469,77208
57,3481,78682
58,3490,80145
59,3502,81621
60,3510,83111
61,3526,84584
62,3542,86053
63,3555,87528
64,3569,88994
65,3587,90464
66,3602,91943
67,3612,93407
68,3624,94881
69,3634,96354
70,3646,97817
71,3659,99304
72,3668,100777
73,3677,102247
74,3688,103723
75,3702,105195
76,3713,106654
77,3726,108132
78,3734,109608
79,3743,111070
80,3755,112539
81,3766,114005
82,3775,115477
83,3781,116953
84,3793,118432
85,3805,119897
86,3813,121379
87,3819,122849
88,3827,124320
89,3833,125790
90,3843,127260
91,3852,128732
92,3859,130202
93,3862,131682
94,3871,133165
95,3882,134632
96,3888,136103
97,3899,137584
98,3910,139053
99,3916,140533
100,3923,142009
101,3931,143481
102,3941,144951
103,3949,146435
104,3955,147911
105,3962,149380
106,3968,150841
107,3972,152313
108,3977,153787
109,3982,155261
110,3988,156738
111,3994,158210
112,3999,159685
113,4006,161144
114,4010,162600
115,4014,164068
116,4020,165547
117,4026,167021
118,4028,168482
119,4035,169954
120,4039,171419
121,4045,172888
122,4053,174354
123,4058,175826
124,4064,177297
125,4072,178771
126,4078,180241
127,4081,181710
128,4088,183181
129,4091,184655
130,4094,186125
131,4096,187600
132,4098,189070
133,4102,190542
134,4104,192004
135,4107,193479
136,4109,194951
137,4113,196428
138,4114,197904
139,4121,199370
140,4125,200843
