,epsilon_progress,nfe
0,0,0
1,5,100
2,24,1188
3,42,2261
4,54,3352
5,66,4434
6,78,5519
7,91,6597
8,105,7683
9,115,8757
10,121,9837
11,125,10914
12,126,11987
13,128,13073
14,129,14162
15,129,15244
16,129,16318
17,129,17389
18,129,18463
19,129,19540
20,129,20614
21,129,21700
22,129,22777
23,129,23855
24,129,24924
25,129,26002
26,129,27083
27,129,28168
28,129,29248
29,129,30334
30,129,31414
31,129,32479
32,129,33553
33,129,34629
34,129,35704
35,129,36785
36,129,37868
37,129,38940
38,129,40018
39,129,41088
40,129,42165
41,129,43251
42,129,44334
43,129,45410
44,129,46482
45,129,47554
46,129,48634
47,129,49714
48,129,50789
49,129,51863
50,129,52938
51,129,54013
52,129,55092
53,129,56177
54,129,57245
55,129,58319
56,129,59402
57,129,60483
58,129,61557
59,129,62640
60,129,63724
61,129,64796
62,129,65876
63,129,66954
64,129,68032
65,129,69109
66,129,70188
67,129,71268
68,129,72347
69,129,73414
70,129,74491
71,129,75573
72,129,76644
73,129,77722
74,129,78794
75,129,79868
76,129,80936
77,129,82014
78,129,83096
79,129,84176
80,129,85261
81,129,86339
82,129,87418
83,129,88486
84,129,89570
85,129,90657
86,129,91737
87,129,92815
88,129,93891
89,129,94976
90,129,96053
91,129,97127
92,129,98127
93,129,99130
94,129,100139
95,129,101143
96,129,102146
97,129,103149
98,129,104158
99,129,105162
100,129,106166
101,129,107169
102,129,108170
103,130,109176
104,130,110179
105,130,111187
106,130,112194
107,130,113199
108,130,114199
109,130,115207
110,130,116211
111,130,117214
112,130,118215
113,130,119223
114,130,120226
115,130,121231
116,130,122239
117,130,123247
118,130,124255
119,130,125255
120,130,126262
121,130,127268
122,130,128274
123,130,129283
124,130,130290
125,130,131293
126,130,132298
127,130,133304
128,130,134310
129,130,135316
130,130,136316
131,130,137320
132,130,138325
133,130,139331
134,130,140335
135,130,141341
136,130,142348
137,130,143348
138,130,144357
139,130,145357
140,130,146366
141,130,147367
142,130,148369
143,130,149374
144,130,150374
145,130,151383
146,130,152383
147,130,153392
148,130,154401
149,130,155402
150,130,156407
151,131,157412
152,131,158413
153,131,159417
154,131,160426
155,131,161428
156,131,162430
157,131,163432
158,131,164436
159,131,165443
160,131,166452
161,131,167459
162,131,168465
163,131,169474
164,131,170474
165,131,171481
166,131,172490
167,131,173497
168,131,174499
169,131,175504
170,131,176505
171,131,177513
172,131,178518
173,131,179522
174,131,180525
175,131,181527
176,131,182532
177,131,183533
178,131,184541
179,131,185545
180,131,186552
181,131,187554
182,131,188554
183,131,189558
184,131,190563
185,131,191572
186,131,192579
187,131,193584
188,131,194592
189,131,195592
190,131,196598
191,131,197600
192,131,198601
193,131,199609
