,epsilon_progress,nfe
0,0,0
1,19,100
2,95,1182
3,275,2261
4,454,3350
5,569,4420
6,650,5497
7,706,6568
8,744,7650
9,777,8722
10,807,9791
11,869,10940
12,916,12164
13,947,13400
14,968,14631
15,987,15857
16,1002,17078
17,1015,18293
18,1025,19514
19,1033,20740
20,1048,21948
21,1055,23172
22,1067,24398
23,1078,25625
24,1086,26843
25,1091,28068
26,1098,29286
27,1106,30518
28,1113,31743
29,1123,32967
30,1130,34179
31,1139,35405
32,1149,36630
33,1156,37849
34,1160,39061
35,1165,40285
36,1167,41504
37,1172,42721
38,1175,43939
39,1178,45160
40,1180,46388
41,1181,47617
42,1186,48835
43,1192,50061
44,1195,51289
45,1198,52510
46,1198,53738
47,1201,54967
48,1205,56185
49,1209,57406
50,1211,58633
51,1213,59850
52,1215,61086
53,1218,62320
54,1222,63546
55,1227,64770
56,1228,66002
57,1232,67233
58,1233,68458
59,1236,69677
60,1241,70904
61,1243,72129
62,1243,73346
63,1244,74565
64,1245,75786
65,1248,77012
66,1252,78233
67,1255,79460
68,1255,80687
69,1256,81898
70,1259,83121
71,1259,84343
72,1262,85569
73,1262,86795
74,1262,88012
75,1262,89245
76,1263,90460
77,1264,91687
78,1265,92908
79,1267,94129
80,1267,95352
81,1267,96568
82,1269,97793
83,1271,99018
84,1272,100243
85,1272,101465
86,1273,102694
87,1273,103922
88,1274,105144
89,1274,106363
90,1274,107591
91,1276,108821
92,1276,110047
93,1278,111269
94,1280,112492
95,1281,113715
96,1281,114942
97,1282,116168
98,1282,117398
99,1282,118630
100,1282,119848
101,1282,121072
102,1282,122302
103,1282,123534
104,1284,124755
105,1284,125975
106,1286,127198
107,1289,128430
108,1289,129664
109,1291,130884
110,1291,132106
111,1292,133323
112,1293,134538
113,1294,135766
114,1295,136991
115,1295,138225
116,1296,139440
117,1296,140664
118,1297,141886
119,1297,143120
120,1298,144346
121,1298,145572
122,1299,146794
123,1299,148018
124,1299,149243
125,1300,150453
126,1300,151677
127,1300,152896
128,1300,154121
129,1302,155341
130,1305,156560
131,1305,157790
132,1306,159015
133,1308,160234
134,1309,161447
135,1309,162660
136,1309,163890
137,1309,165112
138,1310,166339
139,1311,167566
140,1314,168795
141,1315,170026
142,1315,171246
143,1315,172476
144,1315,173699
145,1315,174920
146,1315,176144
147,1315,177371
148,1315,178595
149,1315,179820
150,1316,181047
151,1316,182264
152,1316,183496
153,1317,184723
154,1317,185945
155,1317,187173
156,1317,188401
157,1317,189622
158,1318,190844
159,1319,192067
160,1320,193285
161,1320,194508
162,1320,195735
163,1321,196952
164,1321,198169
165,1321,199393
