,epsilon_progress,nfe
0,0,0
1,26,100
2,171,1173
3,277,2240
4,311,3319
5,335,4395
6,364,5465
7,377,6535
8,384,7612
9,400,8695
10,408,9772
11,443,10864
12,458,11993
13,465,13126
14,474,14256
15,480,15394
16,485,16523
17,493,17650
18,497,18784
19,501,19915
20,502,21038
21,503,22164
22,507,23292
23,511,24429
24,519,25552
25,524,26681
26,528,27820
27,530,28939
28,532,30073
29,535,31206
30,537,32339
31,537,33476
32,539,34607
33,540,35733
34,541,36873
35,542,38008
36,542,39136
37,542,40268
38,542,41394
39,542,42530
40,542,43655
41,542,44777
42,545,45902
43,546,47032
44,550,48159
45,550,49292
46,550,50418
47,550,51547
48,550,52683
49,553,53817
50,554,54944
51,555,56083
52,557,57207
53,558,58330
54,558,59457
55,561,60590
56,563,61726
57,563,62852
58,563,63977
59,563,65108
60,564,66241
61,565,67376
62,568,68499
63,568,69617
64,569,70749
65,570,71873
66,570,72998
67,570,74116
68,570,75241
69,571,76370
70,571,77499
71,571,78639
72,571,79760
73,573,80888
74,573,82021
75,574,83145
76,574,84279
77,574,85398
78,575,86524
79,576,87654
80,576,88786
81,576,89910
82,577,91045
83,577,92181
84,577,93308
85,577,94438
86,578,95562
87,578,96694
88,578,97828
89,578,98953
90,578,100092
91,578,101223
92,579,102354
93,580,103485
94,581,104618
95,581,105743
96,583,106866
97,583,107988
98,583,109100
99,583,110231
100,584,111357
101,584,112473
102,584,113605
103,584,114733
104,584,115871
105,584,117003
106,585,118133
107,586,119262
108,586,120395
109,586,121519
110,586,122646
111,586,123772
112,586,124904
113,587,126034
114,588,127163
115,588,128289
116,588,129424
117,588,130554
118,589,131680
119,591,132809
120,591,133936
121,591,135067
122,591,136195
123,591,137319
124,592,138450
125,592,139585
126,592,140715
127,592,141838
128,592,142974
129,593,144115
130,593,145236
131,593,146369
132,594,147496
133,594,148629
134,594,149756
135,595,150880
136,596,152004
137,596,153140
138,596,154270
139,596,155404
140,596,156536
141,596,157657
142,597,158783
143,598,159918
144,598,161051
145,599,162178
146,599,163303
147,599,164430
148,599,165556
149,599,166683
150,599,167815
151,600,168951
152,600,170080
153,600,171208
154,600,172339
155,600,173472
156,601,174603
157,601,175736
158,602,176864
159,602,177997
160,602,179117
161,602,180246
162,603,181368
163,603,182493
164,603,183622
165,603,184756
166,604,185888
167,604,187021
168,604,188146
169,604,189277
170,605,190405
171,605,191532
172,605,192666
173,606,193802
174,606,194937
175,606,196072
176,606,197205
177,606,198288
178,616,199425
