,epsilon_progress,nfe
0,0,0
1,47,100
2,538,1178
3,1065,2249
4,1555,3329
5,2067,4408
6,2575,5475
7,3047,6552
8,3504,7630
9,3933,8709
10,4333,9790
11,4711,10875
12,5055,11956
13,5374,13039
14,5648,14122
15,5884,15210
16,6146,16282
17,6397,17368
18,6590,18449
19,6803,19527
20,7004,20604
21,7228,21691
22,7435,22764
23,7542,23837
24,7625,24926
25,7693,25999
26,7766,27083
27,7852,28162
28,7950,29235
29,8031,30317
30,8119,31391
31,8205,32469
32,8280,33549
33,8369,34627
34,8464,35703
35,8601,36785
36,8741,37852
37,8888,38936
38,9046,40016
39,9233,41096
40,9416,42160
41,9581,43242
42,9683,44326
43,9795,45411
44,9879,46489
45,9992,47562
46,10164,48641
47,10379,49725
48,10674,50797
49,11017,51874
50,11335,52945
51,11650,54024
52,11975,55104
53,12276,56180
54,12579,57268
55,12905,58348
56,13214,59432
57,13512,60505
58,13777,61587
59,14024,62670
60,14294,63732
61,14512,64800
62,14703,65875
63,14930,66955
64,15148,68025
65,15342,69097
66,15497,70176
67,15669,71256
68,15802,72336
69,15970,73416
70,16185,74494
71,16422,75576
72,16635,76657
73,16858,77722
74,17069,78793
75,17288,79866
76,17493,80941
77,17689,82026
78,17874,83096
79,18064,84175
80,18263,85260
81,18409,86333
82,18570,87404
83,18705,88488
84,18828,89573
85,18898,90655
86,18968,91740
87,19027,92813
88,19084,93894
89,19156,94977
90,19229,96054
91,19292,97139
92,19382,98539
93,21195,108323
94,22738,118130
95,24079,127925
96,25277,137735
97,26445,147553
98,27484,157352
99,28437,167159
100,29300,176963
101,30126,186780
102,30888,196594
103,31619,206417
