,epsilon_progress,nfe
0,0,0
1,7,100
2,24,1176
3,33,2254
4,41,3339
5,41,4420
6,43,5488
7,43,6560
8,44,7639
9,46,8725
10,48,9795
11,49,10868
12,50,11947
13,52,13026
14,53,14111
15,55,15194
16,57,16279
17,59,17361
18,60,18438
19,60,19522
20,60,20606
21,60,21687
22,60,22762
23,60,23823
24,60,24904
25,60,25971
26,60,27046
27,61,28127
28,61,29210
29,61,30278
30,61,31357
31,61,32432
32,61,33510
33,61,34589
34,61,35658
35,61,36740
36,61,37813
37,61,38888
38,61,39968
39,61,41057
40,61,42125
41,61,43205
42,61,44289
43,61,45367
44,61,46438
45,61,47513
46,61,48589
47,61,49670
48,61,50746
49,61,51823
50,61,52904
51,61,53976
52,61,55058
53,61,56138
54,61,57225
55,61,58304
56,61,59378
57,61,60459
58,61,61533
59,61,62609
60,61,63693
61,61,64769
62,62,65839
63,62,66912
64,62,67998
65,62,69077
66,62,70154
67,62,71224
68,62,72307
69,62,73377
70,62,74449
71,62,75517
72,62,76605
73,62,77686
74,62,78762
75,62,79841
76,62,80913
77,62,81993
78,62,83064
79,62,84143
80,62,85225
81,62,86310
82,62,87384
83,62,88459
84,62,89536
85,62,90616
86,62,91692
87,62,92762
88,62,93836
89,62,94913
90,62,95995
91,62,97073
92,62,98080
93,62,99083
94,62,100083
95,62,101084
96,62,102086
97,62,103089
98,62,104092
99,62,105099
100,62,106107
101,62,107113
102,62,108114
103,62,109115
104,62,110120
105,62,111128
106,62,112132
107,62,113136
108,62,114142
109,62,115147
110,62,116151
111,62,117160
112,62,118165
113,62,119171
114,62,120174
115,62,121177
116,62,122181
117,62,123184
118,62,124190
119,62,125193
120,62,126202
121,62,127207
122,62,128207
123,62,129207
124,62,130207
125,62,131215
126,62,132216
127,62,133223
128,63,134228
129,63,135228
130,63,136232
131,63,137237
132,63,138241
133,63,139241
134,63,140248
135,63,141250
136,63,142256
137,63,143257
138,63,144263
139,63,145265
140,63,146269
141,63,147276
142,63,148279
143,63,149282
144,63,150290
145,63,151290
146,63,152292
147,63,153293
148,63,154294
149,63,155298
150,63,156298
151,63,157304
152,63,158309
153,63,159309
154,63,160311
155,63,161315
156,63,162323
157,63,163323
158,63,164326
159,63,165326
160,63,166327
161,63,167331
162,63,168340
163,63,169341
164,63,170342
165,63,171343
166,63,172348
167,63,173355
168,63,174357
169,63,175365
170,63,176370
171,63,177374
172,63,178380
173,63,179387
174,63,180394
175,63,181396
176,63,182397
177,63,183405
178,63,184406
179,63,185415
180,63,186421
181,63,187428
182,63,188428
183,63,189428
184,63,190429
185,63,191436
186,63,192436
187,63,193437
188,63,194440
189,63,195443
190,63,196451
191,63,197452
192,63,198454
193,63,199458
