,epsilon_progress,nfe
0,0,0
1,8,100
2,155,1178
3,287,2256
4,357,3324
5,396,4408
6,436,5486
7,462,6565
8,493,7637
9,513,8713
10,527,9788
11,568,11018
12,592,12052
13,606,13088
14,614,14120
15,622,15139
16,636,16174
17,644,17212
18,650,18253
19,655,19288
20,662,20328
21,670,21366
22,673,22398
23,674,23422
24,676,24449
25,683,25493
26,689,26526
27,691,27550
28,693,28575
29,699,29603
30,704,30642
31,709,31678
32,709,32712
33,713,33753
34,713,34785
35,716,35818
36,716,36855
37,719,37894
38,720,38929
39,722,39963
40,725,40994
41,732,42036
42,735,43070
43,737,44094
44,738,45139
45,739,46174
46,741,47211
47,744,48242
48,747,49281
49,748,50309
50,748,51339
51,749,52374
52,751,53408
53,754,54438
54,756,55465
55,758,56503
56,760,57532
57,760,58562
58,762,59603
59,764,60637
60,764,61667
61,764,62709
62,765,63748
63,765,64786
64,766,65818
65,767,66851
66,768,67882
67,769,68921
68,770,69964
69,770,71001
70,770,72035
71,771,73074
72,772,74114
73,773,75148
74,773,76179
75,773,77214
76,773,78247
77,774,79282
78,777,80305
79,777,81335
80,777,82378
81,777,83410
82,777,84433
83,779,85457
84,781,86489
85,782,87530
86,784,88566
87,784,89595
88,784,90632
89,785,91670
90,787,92713
91,788,93746
92,788,94784
93,789,95824
94,789,96867
95,789,97897
96,790,98930
97,790,99964
98,791,100990
99,792,102025
100,792,103052
101,792,104080
102,794,105108
103,796,106142
104,796,107180
105,797,108211
106,797,109249
107,797,110281
108,797,111327
109,798,112367
110,798,113401
111,800,114437
112,800,115473
113,800,116506
114,800,117542
115,801,118571
116,803,119610
117,804,120645
118,805,121677
119,806,122711
120,806,123746
121,807,124781
122,808,125813
123,808,126859
124,808,127891
125,809,128927
126,810,129973
127,810,131013
128,810,132048
129,810,133086
130,810,134113
131,811,135138
132,811,136175
133,812,137213
134,812,138249
135,812,139278
136,812,140317
137,812,141354
138,812,142375
139,812,143413
140,812,144442
141,812,145477
142,812,146511
143,812,147548
144,813,148580
145,814,149620
146,814,150638
147,817,151665
148,817,152709
149,818,153741
150,818,154780
151,818,155806
152,819,156841
153,819,157873
154,820,158917
155,820,159958
156,821,160989
157,821,162029
158,821,163063
159,822,164106
160,822,165144
161,822,166179
162,822,167210
163,824,168251
164,824,169283
165,824,170323
166,825,171364
167,825,172405
168,825,173440
169,825,174473
170,825,175510
171,825,176554
172,827,177589
173,828,178630
174,829,179667
175,829,180696
176,829,181732
177,829,182763
178,830,183792
179,831,184831
180,831,185868
181,831,186902
182,833,187939
183,834,188972
184,834,190004
185,834,191033
186,834,192067
187,835,193106
188,837,194145
189,839,195187
190,839,196220
191,839,197257
192,839,198299
193,839,199335
