,epsilon_progress,nfe
0,0,0
1,5,100
2,16,1185
3,31,2258
4,48,3330
5,61,4416
6,74,5499
7,85,6570
8,100,7656
9,107,8728
10,114,9796
11,114,10872
12,114,11950
13,114,13024
14,114,14111
15,114,15185
16,115,16265
17,116,17338
18,117,18415
19,118,19496
20,118,20575
21,118,21658
22,118,22731
23,118,23800
24,118,24883
25,118,25953
26,118,27033
27,118,28110
28,118,29184
29,118,30265
30,118,31337
31,118,32396
32,118,33471
33,118,34554
34,118,35636
35,118,36724
36,118,37807
37,118,38885
38,120,39963
39,120,41040
40,120,42120
41,120,43191
42,120,44269
43,120,45353
44,120,46438
45,120,47511
46,120,48597
47,120,49675
48,120,50749
49,120,51837
50,120,52923
51,120,53995
52,120,55076
53,120,56155
54,120,57236
55,120,58314
56,120,59400
57,120,60476
58,120,61550
59,120,62623
60,120,63706
61,120,64782
62,120,65864
63,120,66935
64,120,68018
65,120,69092
66,120,70165
67,120,71241
68,120,72318
69,120,73402
70,120,74476
71,120,75561
72,120,76647
73,120,77737
74,120,78815
75,120,79896
76,120,80977
77,120,82058
78,120,83134
79,120,84209
80,120,85285
81,120,86360
82,120,87438
83,120,88513
84,120,89591
85,120,90668
86,120,91753
87,120,92832
88,120,93909
89,120,94989
90,120,96072
91,120,97154
92,120,98160
93,120,99162
94,120,100167
95,120,101169
96,120,102177
97,120,103184
98,120,104193
99,120,105197
100,120,106199
101,120,107204
102,120,108209
103,120,109217
104,120,110222
105,120,111230
106,120,112234
107,120,113234
108,120,114239
109,120,115246
110,120,116250
111,120,117255
112,120,118258
113,120,119263
114,120,120271
115,120,121278
116,120,122287
117,120,123289
118,120,124298
119,120,125299
120,120,126306
121,120,127307
122,120,128311
123,120,129311
124,120,130315
125,120,131317
126,120,132317
127,120,133317
128,120,134325
129,120,135328
130,120,136337
131,120,137341
132,120,138343
133,120,139347
134,120,140351
135,120,141355
136,120,142360
137,120,143363
138,120,144368
139,120,145372
140,120,146372
141,120,147377
142,120,148384
143,120,149387
144,120,150389
145,120,151395
146,120,152398
147,120,153399
148,120,154402
149,120,155402
150,120,156402
151,120,157405
152,120,158409
153,120,159409
154,120,160412
155,120,161415
156,120,162424
157,120,163426
158,120,164428
159,120,165433
160,120,166438
161,120,167438
162,120,168441
163,120,169448
164,120,170448
165,120,171451
166,120,172452
167,120,173455
168,120,174458
169,120,175461
170,120,176468
171,120,177468
172,120,178475
173,120,179480
174,120,180481
175,120,181486
176,120,182495
177,120,183497
178,120,184506
179,120,185515
180,120,186516
181,120,187516
182,120,188523
183,120,189532
184,120,190537
185,120,191542
186,120,192549
187,120,193557
188,120,194559
189,120,195567
190,120,196573
191,120,197580
192,120,198582
193,120,199585
