,epsilon_progress,nfe
0,0,0
1,13,100
2,114,1178
3,525,2252
4,961,3326
5,1369,4406
6,1750,5483
7,2060,6557
8,2331,7635
9,2574,8706
10,2801,9786
11,2801,12418
12,3094,15863
13,3508,19307
14,4009,22753
15,4437,26212
16,4777,29654
17,5040,33099
18,5304,36535
19,5550,39966
20,5759,43419
21,5956,46853
22,6105,50291
23,6248,53750
24,6408,57212
25,6578,60631
26,6709,64067
27,6827,67506
28,6921,70936
29,7033,74366
30,7135,77800
31,7236,81254
32,7309,84690
33,7382,88136
34,7447,91579
35,7532,95020
36,7613,98443
37,7687,101879
38,7763,105299
39,7826,108749
40,7887,112175
41,7944,115616
42,7995,119059
43,8048,122493
44,8101,125925
45,8159,129368
46,8215,132798
47,8269,136237
48,8313,139656
49,8356,143096
50,8394,146528
51,8441,149972
52,8488,153420
53,8529,156862
54,8580,160296
55,8625,163725
56,8667,167173
57,8706,170632
58,8747,174040
59,8783,177471
60,8814,180927
61,8849,184358
62,8888,187813
63,8923,191239
64,8956,194685
65,8985,198109
66,9023,201566
