,epsilon_progress,nfe
0,0,0
1,5,100
2,14,1165
3,21,2235
4,31,3319
5,39,4399
6,48,5470
7,53,6553
8,60,7631
9,63,8714
10,66,9796
11,70,10870
12,72,11948
13,72,13031
14,72,14108
15,72,15176
16,72,16254
17,72,17325
18,72,18406
19,72,19482
20,72,20561
21,72,21638
22,72,22716
23,72,23796
24,72,24876
25,72,25948
26,74,27021
27,77,28106
28,78,29193
29,78,30273
30,79,31356
31,79,32431
32,79,33514
33,79,34599
34,79,35683
35,79,36760
36,79,37828
37,79,38907
38,79,39994
39,79,41062
40,79,42134
41,83,43215
42,87,44293
43,88,45370
44,88,46435
45,88,47520
46,88,48600
47,88,49677
48,88,50751
49,88,51829
50,88,52907
51,88,53983
52,88,55067
53,88,56147
54,88,57218
55,88,58297
56,88,59376
57,88,60458
58,88,61532
59,88,62615
60,88,63694
61,88,64774
62,88,65854
63,88,66917
64,88,67996
65,88,69081
66,88,70158
67,88,71237
68,88,72314
69,88,73395
70,88,74468
71,88,75549
72,88,76629
73,88,77706
74,88,78791
75,88,79871
76,88,80952
77,88,82033
78,88,83109
79,88,84187
80,88,85269
81,88,86351
82,88,87431
83,88,88508
84,88,89585
85,88,90667
86,88,91759
87,88,92837
88,88,93914
89,88,94991
90,88,96067
91,88,97148
92,88,98151
93,88,99157
94,88,100158
95,88,101168
96,88,102177
97,88,103181
98,88,104189
99,88,105197
100,88,106207
101,88,107213
102,88,108217
103,88,109221
104,88,110227
105,88,111229
106,88,112234
107,88,113245
108,88,114255
109,88,115255
110,88,116264
111,88,117274
112,88,118277
113,88,119281
114,88,120281
115,89,121285
116,89,122292
117,89,123301
118,89,124304
119,89,125315
120,89,126317
121,89,127323
122,89,128333
123,89,129335
124,89,130335
125,89,131336
126,89,132336
127,89,133339
128,89,134348
129,89,135358
130,89,136367
131,89,137369
132,89,138379
133,89,139379
134,89,140379
135,89,141390
136,89,142401
137,89,143405
138,89,144405
139,89,145414
140,89,146423
141,89,147424
142,89,148435
143,89,149435
144,89,150440
145,89,151446
146,89,152447
147,89,153455
148,89,154458
149,89,155463
150,89,156474
151,89,157480
152,89,158487
153,89,159490
154,89,160490
155,89,161493
156,89,162495
157,90,163505
158,90,164509
159,90,165515
160,90,166518
161,90,167528
162,90,168529
163,90,169538
164,90,170545
165,90,171552
166,90,172557
167,90,173562
168,90,174564
169,90,175573
170,90,176577
171,90,177578
172,90,178585
173,90,179591
174,90,180601
175,90,181605
176,90,182606
177,90,183610
178,90,184618
179,90,185629
180,90,186636
181,90,187641
182,90,188643
183,90,189643
184,90,190651
185,90,191654
186,90,192665
187,90,193665
188,90,194669
189,90,195670
190,90,196672
191,90,197677
192,90,198680
193,90,199682
