,epsilon_progress,nfe
0,0,0
1,13,100
2,105,1185
3,439,2263
4,810,3339
5,1115,4419
6,1370,5491
7,1556,6562
8,1721,7641
9,1871,8730
10,1970,9813
11,1970,11043
12,2078,12655
13,2230,14255
14,2394,15847
15,2520,17448
16,2625,19038
17,2718,20650
18,2785,22253
19,2850,23868
20,2911,25476
21,2977,27081
22,3014,28680
23,3065,30296
24,3113,31908
25,3162,33507
26,3213,35121
27,3246,36732
28,3281,38338
29,3319,39955
30,3350,41556
31,3383,43169
32,3405,44776
33,3436,46375
34,3454,47972
35,3481,49565
36,3503,51173
37,3528,52781
38,3554,54390
39,3576,55990
40,3599,57606
41,3620,59208
42,3631,60827
43,3659,62435
44,3680,64046
45,3695,65641
46,3712,67252
47,3723,68850
48,3746,70445
49,3757,72042
50,3773,73644
51,3785,75255
52,3796,76862
53,3812,78473
54,3829,80072
55,3838,81689
56,3844,83305
57,3856,84915
58,3871,86525
59,3889,88132
60,3901,89737
61,3916,91346
62,3922,92954
63,3934,94555
64,3944,96165
65,3954,97772
66,3966,99368
67,3976,100971
68,3988,102584
69,3998,104180
70,4013,105789
71,4021,107398
72,4031,109011
73,4040,110599
74,4045,112205
75,4056,113814
76,4071,115424
77,4079,117043
78,4089,118652
79,4092,120253
80,4100,121851
81,4111,123464
82,4118,125061
83,4127,126666
84,4136,128277
85,4143,129874
86,4152,131476
87,4160,133079
88,4167,134696
89,4174,136303
90,4183,137910
91,4189,139514
92,4198,141114
93,4205,142720
94,4213,144333
95,4223,145947
96,4233,147565
97,4244,149173
98,4257,150780
99,4266,152390
100,4271,153983
101,4279,155576
102,4283,157177
103,4288,158769
104,4299,160381
105,4308,161988
106,4318,163605
107,4323,165215
108,4334,166827
109,4341,168429
110,4348,170040
111,4352,171630
112,4353,173239
113,4362,174839
114,4364,176445
115,4365,178052
116,4369,179672
117,4373,181278
118,4380,182895
119,4386,184509
120,4390,186125
121,4394,187735
122,4397,189345
123,4405,190961
124,4409,192572
125,4413,194188
126,4415,195793
127,4418,197390
128,4426,199003
129,4431,200616
