,epsilon_progress,nfe
0,0,0
1,7,100
2,84,1182
3,273,2261
4,448,3338
5,531,4415
6,599,5498
7,640,6577
8,672,7660
9,692,8729
10,710,9805
11,776,10979
12,814,12234
13,829,13469
14,842,14721
15,852,15964
16,868,17211
17,876,18447
18,887,19688
19,893,20949
20,901,22199
21,918,23443
22,921,24688
23,924,25934
24,929,27184
25,934,28433
26,936,29671
27,939,30914
28,942,32158
29,947,33403
30,955,34656
31,962,35900
32,969,37151
33,974,38405
34,982,39655
35,985,40898
36,987,42147
37,987,43394
38,990,44640
39,995,45894
40,999,47145
41,1003,48389
42,1005,49639
43,1010,50887
44,1017,52130
45,1019,53381
46,1020,54624
47,1024,55870
48,1029,57111
49,1030,58364
50,1031,59601
51,1036,60844
52,1037,62088
53,1041,63325
54,1043,64562
55,1044,65816
56,1044,67057
57,1046,68305
58,1046,69556
59,1047,70805
60,1051,72052
61,1051,73306
62,1051,74554
63,1053,75792
64,1054,77036
65,1055,78290
66,1056,79542
67,1057,80781
68,1057,82032
69,1058,83272
70,1059,84510
71,1060,85754
72,1061,87001
73,1062,88249
74,1063,89499
75,1063,90752
76,1065,91999
77,1067,93246
78,1073,94494
79,1074,95735
80,1076,96992
81,1078,98237
82,1079,99480
83,1080,100731
84,1080,101975
85,1080,103217
86,1080,104460
87,1080,105710
88,1081,106964
89,1083,108207
90,1085,109460
91,1085,110706
92,1087,111955
93,1087,113206
94,1087,114461
95,1087,115697
96,1087,116939
97,1087,118180
98,1087,119415
99,1089,120666
100,1089,121916
101,1090,123158
102,1090,124405
103,1090,125649
104,1090,126903
105,1090,128153
106,1090,129399
107,1091,130641
108,1091,131883
109,1091,133132
110,1095,134377
111,1097,135625
112,1099,136867
113,1099,138112
114,1100,139361
115,1100,140607
116,1100,141847
117,1101,143101
118,1102,144348
119,1102,145592
120,1103,146846
121,1105,148096
122,1107,149343
123,1107,150600
124,1108,151840
125,1108,153097
126,1110,154341
127,1111,155576
128,1111,156815
129,1112,158059
130,1113,159308
131,1115,160565
132,1118,161820
133,1118,163059
134,1119,164303
135,1120,165549
136,1121,166793
137,1121,168045
138,1121,169299
139,1121,170539
140,1122,171786
141,1122,173030
142,1122,174272
143,1125,175518
144,1125,176758
145,1126,177996
146,1127,179247
147,1128,180483
148,1128,181725
149,1128,182967
150,1128,184222
151,1128,185465
152,1129,186719
153,1129,187959
154,1129,189204
155,1130,190447
156,1130,191695
157,1130,192931
158,1130,194171
159,1131,195425
160,1131,196668
161,1131,197912
162,1131,199161
