,epsilon_progress,nfe
0,0,0
1,15,100
2,90,1175
3,335,2258
4,502,3343
5,589,4428
6,636,5511
7,672,6595
8,715,7674
9,735,8751
10,756,9830
11,801,10893
12,895,12051
13,938,13201
14,963,14351
15,979,15503
16,985,16651
17,997,17806
18,1006,18958
19,1012,20114
20,1021,21269
21,1035,22423
22,1040,23574
23,1050,24719
24,1059,25858
25,1066,27009
26,1067,28168
27,1074,29320
28,1081,30475
29,1089,31618
30,1101,32771
31,1113,33919
32,1120,35071
33,1127,36223
34,1131,37389
35,1136,38546
36,1138,39696
37,1141,40841
38,1145,41988
39,1156,43138
40,1160,44288
41,1166,45441
42,1172,46595
43,1174,47750
44,1176,48933
45,1235,50001
46,1318,51082
47,1390,52161
48,1442,53236
49,1474,54322
50,1503,55403
51,1515,56484
52,1530,57568
53,1539,58646
54,1546,59722
55,1550,60795
56,1554,61873
57,1558,62955
58,1563,64033
59,1569,65113
60,1569,66191
61,1572,67273
62,1573,68347
63,1573,69429
64,1578,70512
65,1579,71581
66,1581,72654
67,1583,73723
68,1587,74804
69,1590,75883
70,1591,76971
71,1595,78049
72,1599,79131
73,1601,80202
74,1602,81276
75,1602,82350
76,1604,83430
77,1606,84502
78,1608,85568
79,1611,86636
80,1611,87710
81,1611,88788
82,1613,89869
83,1613,90950
84,1615,92026
85,1617,93098
86,1618,94179
87,1618,95260
88,1620,96335
89,1623,97417
90,1623,98490
91,1625,99567
92,1626,100651
93,1627,101725
94,1630,102804
95,1664,104161
96,1746,105704
97,1827,107248
98,1881,108783
99,1921,110326
100,1940,111869
101,1958,113397
102,1970,114933
103,1976,116468
104,1982,118002
105,1986,119527
106,1987,121053
107,1988,122598
108,1989,124124
109,1992,125660
110,1996,127196
111,1998,128733
112,2001,130278
113,2002,131819
114,2005,133353
115,2007,134890
116,2009,136420
117,2010,137950
118,2010,139488
119,2011,141027
120,2013,142560
121,2014,144088
122,2015,145637
123,2016,147173
124,2017,148705
125,2018,150248
126,2019,151778
127,2020,153308
128,2020,154852
129,2021,156392
130,2021,157926
131,2021,159461
132,2021,161011
133,2021,162551
134,2021,164087
135,2021,165626
136,2022,167154
137,2025,168681
138,2025,170214
139,2025,171755
140,2025,173289
141,2026,174833
142,2026,176367
143,2026,177902
144,2026,179438
145,2027,180975
146,2028,182514
147,2029,184054
148,2030,185585
149,2033,187119
150,2033,188648
151,2033,190187
152,2035,191722
153,2035,193252
154,2036,194792
155,2036,196338
156,2039,197879
157,2040,199420
