,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Intratemporal consumption Gini 2105,Temperature overshoot 2105
0,32,0.1973244290584117,2065.0,0.0013762245927112,0.0011263496232355,11040.07715022932,0.284999815774899,7.0
1,33,0.1635636701307602,2065.0,0.001483560057888,0.0051229504715344,11003.167291968148,0.2839998097362305,7.0
2,40,0.234288875987512,2065.0,0.0010417578943086,0.0023851104720187,11058.109562533657,0.2858999602554643,7.0
3,41,0.1129543107776896,2065.0000000000005,0.0068910524700317,0.0024431881870241,10902.08468951146,0.2819999569923151,7.0
4,93,0.2511277838528445,2065.0007097740213,0.0013038786668947,0.0035967227047565,11059.480022134212,0.2862598065244733,7.0
0,33,0.1799073218927368,2065.0,0.0036892304339575,0.0015082640146313,11157.234102126346,0.282999999436608,5.0
1,53,0.103789787632808,2065.0000001109124,0.0079495444146226,0.0089512681157988,11014.262859862676,0.2799999796004851,5.0
2,68,0.2338228658521858,2065.0,0.0070321942178652,0.0014232340953404,11190.060422709876,0.2843996490172409,5.0
3,73,0.1496625089320273,2065.0,0.001658570589983,0.0027969760157364,11116.285286891074,0.2819999237146224,5.0
4,83,0.2428780839689221,2065.0,0.0088950668967369,0.0085075891797179,11191.203939739484,0.2845998977574642,6.0
5,89,0.1246612398435444,2065.0,0.0032170914864997,0.0025613441282329,11067.439467259466,0.2809997282101667,5.0
0,71,0.207334198094241,2065.0000000006507,0.0013293121783821,0.0028763214885273,11163.797585836162,0.2839999969020725,6.0
1,75,0.172148636172938,2065.000000000346,0.0028384663336863,0.0067258434536351,11132.475738751458,0.2829999475825597,6.0
2,81,0.1432699730288444,2065.000000000398,0.004386703026159,0.0016309386353038,11089.195235778068,0.2819999519424248,6.0
3,88,0.1193421049899719,2065.000000000177,0.0048808113519802,0.0069972631289921,11038.991313062335,0.2809999961725397,6.0
0,42,0.2137260544050819,2065.0,0.0091194028968467,0.002734345073558,11080.507350683562,0.2849996727701748,6.0
1,165,0.2333831417318176,2185.882265016728,0.0125608054493678,0.0012811332074038,11111.116148583042,0.2855999200009689,7.0
2,174,0.2443990085262809,2065.0,0.0044388855331443,0.0031972802954902,11089.15622930104,0.285699363981955,6.0
