,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Temperature overshoot 2105
0,647,0.2327304935538577,2112.8266429441514,0.0010000000000006,0.0072434891180601,10035.992628094304,0.3991306947029266,372.6198936204345,7.0
1,834,0.2476835826109577,2065.000000007937,0.0010000000002787,0.0042054000787801,10034.485831524731,0.1521954937540049,372.6198936204345,6.0
2,1002,0.2306674383716844,2142.0479527479392,0.0010000014362549,0.0037342394316746,10049.66476147339,0.4993793610290657,372.6198936204345,7.0
3,1106,0.2476674229076286,2171.060176579174,0.0010000013343657,0.0039222067665519,10054.475382075048,0.5957960456196199,372.6198936204345,7.0
0,0,0.2427362858499097,2164.887139780739,0.001,0.013983415184273,10006.376844188217,0.0,0.0,7.0
1,1,0.2484233068127198,2065.0,0.001,0.005931428477343,10007.578786975788,0.0,0.0,7.0
0,0,0.2473666950966808,2065.0,0.001,0.0104256404227122,10126.852336456135,0.0,0.0,6.0
1,1,0.239464853386171,2065.0,0.001,0.0049907082266357,10126.459578285596,0.0,0.0,5.0
2,2,0.2473668671113614,2065.0,0.001,0.0030640513893416,10126.85233645615,0.0,0.0,6.0
3,3,0.2394647371226553,2065.0,0.001,0.004015682530291,10126.45956667852,0.0,0.0,5.0
0,0,0.2472072350441666,2065.0,0.001,0.0148278865654487,10112.33888776137,0.0,0.0,6.0
1,1,0.2472067867330713,2065.0,0.001,0.0104204938320999,10112.338887763246,0.0,0.0,6.0
