,epsilon_progress,nfe
0,0,0
1,13,100
2,22,1100
3,30,2100
4,39,3100
5,40,4100
6,41,5100
7,41,6100
8,41,7100
9,42,8100
10,42,9100
11,43,10114
12,43,11122
13,43,12130
14,43,13138
15,43,14146
16,43,15154
17,43,16162
18,43,17170
19,43,18178
20,43,19186
21,43,20194
22,43,21202
23,43,22210
24,43,23218
25,43,24226
26,43,25234
27,43,26242
28,43,27250
29,43,28258
30,43,29266
31,43,30274
32,43,31282
33,43,32290
34,43,33298
35,43,34298
36,43,35310
37,43,36322
38,43,37334
39,43,38346
40,43,39358
41,43,40370
42,43,41382
43,43,42394
44,43,43406
45,43,44418
46,43,45430
47,43,46442
48,43,47454
49,43,48466
50,43,49478
51,43,50490
52,43,51502
53,43,52514
54,43,53526
55,43,54538
56,43,55550
57,44,56556
58,44,57568
59,44,58580
60,44,59592
61,44,60604
62,44,61616
63,44,62628
64,44,63640
65,44,64652
66,44,65664
67,44,66676
68,44,67688
69,44,68700
70,44,69712
71,44,70724
72,44,71736
73,44,72748
74,44,73760
75,44,74772
76,44,75784
77,44,76796
78,44,77808
79,45,78812
80,45,79820
81,45,80828
82,45,81836
83,45,82844
84,45,83852
85,45,84860
86,45,85868
87,45,86876
88,45,87884
89,45,88892
90,45,89900
91,45,90908
92,45,91916
93,45,92924
94,45,93932
95,45,94940
96,45,95948
97,45,96956
98,45,97964
99,45,98972
100,45,99980
101,45,100988
102,45,101996
103,46,102998
104,46,104006
105,46,105014
106,46,106022
107,46,107030
108,46,108038
109,46,109046
110,46,110054
111,46,111062
112,46,112070
113,46,113078
114,46,114086
115,46,115094
116,46,116102
117,46,117110
118,46,118118
119,46,119126
120,46,120134
121,46,121142
122,46,122150
123,46,123158
124,46,124166
125,46,125174
126,48,126176
127,48,127184
128,48,128192
129,48,129200
130,48,130208
131,48,131216
132,48,132224
133,48,133232
134,48,134240
135,48,135248
136,48,136256
137,48,137264
138,48,138272
139,48,139280
140,48,140288
141,48,141296
142,48,142304
143,48,143312
144,48,144320
145,48,145328
146,48,146336
147,48,147344
148,48,148352
149,48,149360
150,48,150362
151,48,151370
152,48,152378
153,48,153386
154,48,154394
155,48,155402
156,48,156410
157,48,157418
158,48,158426
159,48,159434
160,48,160442
161,48,161450
162,48,162458
163,48,163466
164,48,164474
165,48,165482
166,48,166490
167,48,167498
168,48,168506
169,48,169514
170,48,170522
171,48,171530
172,48,172538
173,48,173546
174,49,174548
175,49,175556
176,49,176564
177,49,177572
178,49,178580
179,49,179588
180,49,180596
181,49,181604
182,49,182612
183,49,183620
184,49,184628
185,49,185636
186,49,186644
187,49,187652
188,49,188660
189,49,189668
190,49,190676
191,49,191684
192,49,192692
193,49,193700
194,49,194708
195,49,195716
196,49,196724
197,49,197732
198,49,198732
199,49,199752
