,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,482,0,11342.373904396292,5,11223.162660828388,35.71825408859434,0.28426478761630175,0.5901277750546525,0.0
1,487,1,13351.765183088328,1,11089.856364001078,57.876117358504544,0.28613516465392397,0.5500388629745127,7.0
2,683,2,11913.915520026518,4,11283.109653648104,20.868383701102445,0.2829734298481136,0.6909639978805282,0.0
3,245,0,13159.217611734135,2,11276.04373231321,13.600394169710297,0.2831721556012002,0.6604795803705616,0.0
4,677,2,12094.132568194878,2,11283.75811379608,22.084237302149134,0.2829517724481065,0.6965586232863289,0.0
5,919,2,12454.795147642111,4,11206.646066595196,40.64772232755533,0.2845365478506789,0.5800131358395595,4.0
6,178,0,4082.8053135131936,1,11280.263449921636,30.21373470498216,0.28331303511061107,0.6302218918621113,0.0
7,368,1,12955.173520668808,1,11255.128021828143,32.18950782659618,0.28366049982373814,0.6200523614738375,0.0
8,930,1,11553.455941799937,2,11279.109487780946,24.53783597070119,0.2830905212509054,0.6704116797330378,0.0
9,549,2,13347.00739347185,4,11203.624950777907,45.85449159280714,0.2846654088013235,0.5700136786122457,5.0
10,930,1,10463.043959032384,5,11296.8211064673,24.553816282884938,0.2829044562877407,0.67047802786538,0.0
11,221,0,7039.596047370103,4,11268.073489478296,28.482739993714606,0.28337067277855565,0.6402119083473349,0.0
12,198,1,12623.47968415661,2,11223.246115345672,39.35008892412615,0.28426335769725214,0.5901854004156973,0.0
13,677,2,5655.4100729209895,2,11302.853029253318,22.675815267654887,0.2827789946784872,0.6900572643543051,0.0
14,950,0,13519.44056353709,4,11152.396247779303,50.514907682201105,0.2853232181265967,0.5600217495316125,6.0
15,119,0,7980.075562261904,4,11290.000592229419,27.115106039297885,0.2830821518508662,0.6501237565203708,0.0
16,121,1,13591.78504050409,2,11282.252185481502,23.07463631549477,0.2830004837858484,0.6848019639939027,0.0
17,119,0,6924.6206126855905,2,11272.247773743213,27.09730987687773,0.2832689649047072,0.6500607183610052,0.0
18,520,2,10641.497330380334,2,11276.243734084917,25.65748948819436,0.2831669295658852,0.6610639427034755,0.0
19,102,0,11778.608549499078,4,11254.326504612842,36.703401523216705,0.28384008856612325,0.6003872642406813,0.0
20,817,2,8388.83210729893,0,11284.261840690611,21.686054177113853,0.2829340679469643,0.9163286478816159,0.0
21,982,1,13131.092000880672,2,11236.209612215303,35.241931782941414,0.284033023019042,0.6001381540865054,0.0
22,257,2,4683.247010525653,4,10990.693239770406,69.95347614257713,0.28725988545641606,0.5401303019477466,7.0
23,178,0,12014.717368873902,2,11262.451286664034,30.19675012252286,0.2835008555069717,0.6300999432334355,0.0
24,257,2,13481.825398127563,2,10978.507696034616,69.92317984364027,0.28739191526059243,0.5400760952487013,7.0
25,359,1,12963.659833260022,2,11301.915641186986,23.294355182345058,0.28280907875230255,0.6825820555396444,0.0
26,221,0,6369.609934981736,1,11285.851523053801,28.501515078090456,0.2831834228581074,0.6402780852452341,0.0
27,244,1,11163.798382615949,2,11236.48776099037,36.65012144332535,0.2840278865312085,0.6003760758063782,0.0
28,647,1,13146.908431053773,1,11240.931206317506,39.448029987459655,0.28407826983975937,0.5900551541442824,0.0
29,484,2,12930.099617427075,1,11185.599216681045,45.78311966997621,0.28485603548790406,0.5700009626596584,5.0
30,716,1,9321.91279183771,2,11206.686988722067,42.36757269697798,0.28453589980211913,0.5800353869504408,4.0
31,359,1,13391.511654023032,1,11312.821407528563,23.304186410241076,0.2826927771597143,0.68261376795017,0.0
32,115,0,8328.91133060274,4,11224.60313597944,42.43777444858126,0.28434692902667263,0.5800282021697611,4.0
33,89,1,6620.018810932224,4,11246.795277219157,34.31018467362316,0.28383081648194386,0.6103487911610365,0.0
34,12,2,12222.724950125616,4,11170.391257667448,50.61591374889116,0.2851329113092846,0.5600046002654863,6.0
35,817,2,11623.850900142545,4,11301.941153426502,21.700415423983653,0.28274868256454233,0.9163317364104869,0.0
