,epsilon_progress,nfe
0,0,0
1,3,100
2,4,1100
3,5,2100
4,5,3100
5,5,4100
6,5,5100
7,5,6100
8,5,7100
9,5,8100
10,5,9100
11,5,10100
12,5,11100
13,5,12100
14,5,13100
15,5,14100
16,5,15100
17,5,16100
18,5,17100
19,5,18100
20,5,19100
21,5,20100
22,5,21100
23,5,22100
24,5,23100
25,5,24100
26,5,25100
27,5,26100
28,5,27100
29,5,28100
30,5,29100
31,5,30100
32,5,31100
33,5,32100
34,5,33100
35,5,34100
36,5,35100
37,5,36100
38,5,37100
39,5,38100
40,5,39100
41,5,40100
42,5,41100
43,5,42100
44,5,43100
45,5,44100
46,5,45100
47,5,46100
48,5,47100
49,5,48100
50,5,49100
51,5,50100
52,5,51100
53,5,52100
54,5,53100
55,5,54100
56,5,55100
57,5,56100
58,5,57100
59,6,58100
60,6,59100
61,6,60100
62,6,61100
63,6,62100
64,6,63100
65,6,64100
66,6,65100
67,6,66100
68,6,67100
69,6,68100
70,6,69100
71,6,70100
72,6,71100
73,6,72100
74,6,73100
75,6,74100
76,6,75100
77,6,76100
78,6,77100
79,6,78100
80,6,79100
81,6,80100
82,6,81100
83,6,82100
84,6,83100
85,6,84100
86,6,85100
87,6,86100
88,6,87100
89,6,88100
90,6,89100
91,6,90100
92,6,91100
93,6,92100
94,6,93100
95,6,94100
96,6,95100
97,6,96100
98,6,97100
99,6,98100
100,6,99100
101,6,100106
102,6,101114
103,6,102122
104,6,103130
105,6,104138
106,6,105146
107,6,106154
108,6,107162
109,6,108170
110,6,109178
111,6,110186
112,6,111194
113,6,112200
114,6,113208
115,6,114216
116,6,115224
117,6,116232
118,6,117240
119,6,118248
120,6,119256
121,6,120264
122,6,121272
123,6,122280
124,6,123288
125,6,124294
126,6,125302
127,6,126310
128,6,127318
129,6,128326
130,6,129334
131,6,130342
132,6,131350
133,6,132358
134,6,133366
135,6,134374
136,6,135382
137,6,136388
138,6,137396
139,6,138404
140,6,139412
141,6,140420
142,6,141428
143,6,142436
144,6,143444
145,6,144452
146,6,145460
147,6,146468
148,6,147476
149,6,148482
150,6,149490
151,6,150498
152,6,151506
153,6,152514
154,6,153522
155,6,154530
156,6,155538
157,6,156546
158,6,157554
159,6,158562
160,6,159570
161,6,160576
162,6,161584
163,6,162592
164,6,163600
165,6,164608
166,6,165616
167,6,166624
168,6,167632
169,6,168640
170,6,169648
171,6,170656
172,6,171664
173,6,172670
174,6,173678
175,6,174686
176,6,175694
177,6,176702
178,6,177710
179,6,178718
180,6,179726
181,6,180734
182,6,181742
183,6,182750
184,6,183758
185,6,184764
186,6,185772
187,6,186780
188,6,187788
189,6,188796
190,6,189804
191,6,190812
192,6,191820
193,6,192828
194,6,193836
195,6,194844
196,6,195852
197,6,196858
198,6,197866
199,6,198874
200,6,199882
