,epsilon_progress,nfe
0,0,0
1,5,100
2,7,1100
3,10,2100
4,11,3100
5,11,4100
6,12,5100
7,12,6100
8,13,7100
9,13,8100
10,13,9100
11,13,10100
12,13,11100
13,13,12100
14,14,13100
15,14,14100
16,14,15100
17,14,16100
18,14,17100
19,14,18100
20,14,19100
21,14,20100
22,14,21100
23,14,22100
24,14,23100
25,14,24100
26,14,25100
27,14,26100
28,14,27100
29,14,28100
30,14,29100
31,14,30100
32,14,31100
33,14,32100
34,14,33100
35,14,34100
36,14,35100
37,15,36100
38,15,37100
39,15,38100
40,15,39100
41,15,40108
42,15,41116
43,15,42124
44,15,43132
45,15,44140
46,15,45148
47,15,46156
48,16,47164
49,16,48172
50,16,49180
51,16,50188
52,16,51196
53,16,52204
54,16,53212
55,16,54216
56,16,55224
57,16,56232
58,16,57240
59,16,58248
60,16,59256
61,16,60264
62,16,61272
63,16,62280
64,16,63288
65,16,64296
66,16,65304
67,16,66312
68,16,67320
69,16,68324
70,16,69332
71,16,70340
72,16,71348
73,16,72356
74,16,73364
75,16,74372
76,16,75380
77,16,76388
78,16,77396
79,16,78404
80,16,79412
81,16,80420
82,16,81428
83,16,82432
84,16,83440
85,16,84448
86,16,85456
87,16,86464
88,16,87472
89,16,88480
90,16,89488
91,16,90496
92,16,91504
93,16,92512
94,16,93520
95,16,94528
96,16,95536
97,16,96540
98,16,97548
99,16,98556
100,16,99564
101,16,100572
102,16,101580
103,16,102588
104,16,103596
105,16,104604
106,16,105612
107,16,106620
108,16,107628
109,16,108636
110,16,109644
111,16,110648
112,16,111656
113,16,112664
114,16,113672
115,16,114680
116,16,115688
117,16,116696
118,16,117704
119,16,118712
120,16,119720
121,16,120728
122,16,121736
123,16,122744
124,16,123752
125,16,124756
126,16,125764
127,17,126772
128,17,127780
129,17,128788
130,17,129796
131,17,130804
132,17,131812
133,17,132820
134,17,133828
135,17,134836
136,17,135844
137,17,136852
138,17,137860
139,17,138866
140,17,139874
141,17,140882
142,17,141890
143,17,142898
144,17,143906
145,17,144914
146,17,145922
147,17,146930
148,17,147938
149,17,148946
150,17,149954
151,17,150962
152,17,151970
153,17,152978
154,17,153986
155,19,154990
156,19,155998
157,19,157006
158,19,158014
159,19,159022
160,19,160030
161,19,161038
162,19,162046
163,19,163054
164,19,164062
165,19,165070
166,19,166078
167,19,167086
168,19,168094
169,19,169102
170,19,170106
171,19,171114
172,19,172122
173,19,173130
174,19,174138
175,19,175146
176,19,176154
177,19,177162
178,19,178170
179,19,179178
180,19,180186
181,19,181194
182,19,182202
183,19,183210
184,19,184218
185,19,185226
186,19,186230
187,19,187238
188,19,188246
189,19,189254
190,19,190262
191,19,191270
192,19,192278
193,19,193286
194,19,194294
195,19,195302
196,19,196310
197,19,197318
198,19,198326
199,19,199334
