,epsilon_progress,nfe
0,0,0
1,6,100
2,6,1100
3,6,2100
4,6,3100
5,6,4100
6,6,5100
7,6,6100
8,6,7100
9,6,8100
10,6,9100
11,6,10100
12,6,11100
13,6,12100
14,6,13100
15,6,14100
16,6,15100
17,6,16100
18,6,17100
19,6,18100
20,6,19100
21,6,20100
22,6,21100
23,6,22100
24,6,23100
25,6,24100
26,6,25100
27,6,26100
28,6,27100
29,6,28100
30,6,29100
31,6,30100
32,6,31100
33,6,32100
34,6,33100
35,6,34100
36,6,35100
37,6,36100
38,6,37100
39,6,38100
40,6,39100
41,6,40100
42,6,41100
43,6,42100
44,6,43100
45,6,44100
46,6,45100
47,6,46100
48,6,47100
49,6,48100
50,6,49100
51,6,50100
52,6,51100
53,6,52100
54,6,53100
55,6,54100
56,6,55100
57,6,56100
58,6,57100
59,6,58100
60,6,59100
61,6,60100
62,6,61100
63,6,62100
64,6,63100
65,6,64100
66,6,65100
67,6,66100
68,6,67100
69,6,68100
70,6,69100
71,6,70100
72,6,71100
73,6,72100
74,6,73100
75,6,74100
76,6,75100
77,6,76100
78,6,77100
79,6,78100
80,6,79100
81,6,80100
82,6,81100
83,6,82100
84,6,83100
85,6,84100
86,6,85100
87,6,86100
88,6,87100
89,6,88100
90,6,89100
91,6,90100
92,6,91100
93,6,92100
94,6,93100
95,6,94100
96,6,95100
97,6,96100
98,6,97100
99,6,98100
100,6,99100
101,6,100106
102,6,101114
103,6,102122
104,6,103130
105,6,104138
106,6,105146
107,6,106154
108,6,107162
109,6,108170
110,6,109178
111,6,110186
112,6,111194
113,6,112200
114,6,113208
115,6,114216
116,6,115224
117,6,116232
118,6,117240
119,6,118248
120,6,119256
121,6,120264
122,6,121272
123,6,122280
124,6,123288
125,7,124294
126,7,125302
127,7,126310
128,7,127318
129,7,128326
130,7,129334
131,7,130342
132,7,131350
133,7,132358
134,7,133366
135,7,134374
136,7,135382
137,7,136388
138,7,137396
139,7,138404
140,7,139412
141,7,140420
142,7,141428
143,7,142436
144,7,143444
145,7,144452
146,7,145460
147,7,146468
148,7,147476
149,7,148482
150,7,149490
151,7,150498
152,7,151506
153,7,152514
154,7,153522
155,7,154530
156,7,155538
157,7,156546
158,7,157554
159,7,158562
160,7,159570
161,7,160576
162,7,161584
163,7,162592
164,7,163600
165,7,164608
166,7,165616
167,7,166624
168,7,167632
169,7,168640
170,7,169648
171,7,170656
172,7,171664
173,7,172670
174,7,173678
175,7,174686
176,7,175694
177,7,176702
178,7,177710
179,7,178718
180,7,179726
181,7,180734
182,7,181742
183,7,182750
184,7,183758
185,7,184764
186,7,185772
187,7,186780
188,7,187788
189,7,188796
190,7,189804
191,7,190812
192,7,191820
193,7,192828
194,7,193836
195,7,194844
196,7,195852
197,7,196858
198,7,197866
199,7,198874
200,7,199882
