region,2005,2015,2025,2035,2045,2055,2065,2075,2085,2095,2105,2115,2125,2135,2145,2155,2165,2175,2185,2195,2205,2215,2225,2235,2245,2255,2265,2275,2285,2295,2305
US,0.4880118149741532,0.5263173643859599,0.5712928047362896,0.6106148710468657,0.6427380805562428,0.6682343334306232,0.6882092212390513,0.7037690296407935,0.7158394727429802,0.7251283253446066,0.7321496949530794,0.7368594835458979,0.7396458370607173,0.740705535952458,0.740087905093431,0.7381331011930602,0.735429601968489,0.7323563040715886,0.7291628994189413,0.7260135285086349,0.7230129572539593,0.7202237530476561,0.7176783820434293,0.7153881235026543,0.7133497753467644,0.7115507047155274,0.7099726050343672,0.7085942290142143,0.7073933160017294,0.706347896376842,0.7055790942804795
OECD-Europe,0.5490798394297864,0.5921788060427537,0.6427823094992243,0.6870249962403272,0.7231679874101461,0.7518547486826525,0.7743292213366813,0.7918361275972181,0.8054170220695087,0.81586824791792,0.8237682461943993,0.8290674006102204,0.8322024282746483,0.8333947340333762,0.8326998150939252,0.8305003941397641,0.8274585888502656,0.8240007096269123,0.8204076939250227,0.8168642221879141,0.8134881703544107,0.8103499352733298,0.8074860457948257,0.8049091926260393,0.8026157729919319,0.8005915732020666,0.7988159958636748,0.7972651348791727,0.7959139439779868,0.7947377043416567,0.793872697145783
Japan,0.5581040377656036,0.6019113414815831,0.6533465200768689,0.6983163411095454,0.7350533470242963,0.7642115789368541,0.7870554224622183,0.8048500569964898,0.8186541552298637,0.8292771483298398,0.8373069841020349,0.8426932308075858,0.8458797830580583,0.8470916845164843,0.846385344494184,0.84414977577154,0.8410579780178132,0.8375432681011945,0.8338912007204974,0.8302894915660649,0.8268579538830552,0.8236681415016213,0.8207571836283046,0.8181379795436632,0.8158068672605834,0.8137493994847836,0.811944640302675,0.8103682907168616,0.8089948928180657,0.8077993215308418,0.8069200978295769
Russia,0.3970641609918975,0.4282309491143086,0.46482460307920426,0.49681846631979726,0.5229550778542603,0.5436997564570506,0.5599520516376103,0.5726120776424312,0.5824330291360421,0.5899907774357169,0.5957036191068757,0.599535674394627,0.6018027529501886,0.6026649625083226,0.6021624355790203,0.6005719360321075,0.5983722707403902,0.5958717237997889,0.5932734536345918,0.5907110109236109,0.5882696370240931,0.5860002390422646,0.5839292326215286,0.5820657949791522,0.5804073207875576,0.5789435314922204,0.5776595321982798,0.5765380353386139,0.5755609288360761,0.5747103374087714,0.5740848120628798
Non-Russia Eurasia,0.45025752211383235,0.48559962087486847,0.5270956045923745,0.5633755789662193,0.5930136251614773,0.6165373991566093,0.6349669601081221,0.6493230075655092,0.6604596391700011,0.6690298737982556,0.6755080458112093,0.6798534687628951,0.6824242602700273,0.6834019771665071,0.6828321283808148,0.6810285549151887,0.6785342078019808,0.6756986709290685,0.6727523191771466,0.6698465945639687,0.6670781579470648,0.6645047362878657,0.6621562840454044,0.660043207878132,0.6581625534314255,0.6565026651670987,0.6550466527709121,0.6537749127180447,0.6526669065167926,0.6517023641933737,0.6509930393035195
China,0.7606683011661762,0.766525530621398,0.7734026405448062,0.779415303685555,0.7843272031837671,0.788225787217327,0.7912801097119214,0.7936593307252664,0.795504999458944,0.7969253404251718,0.7979989648351661,0.7987191297433143,0.7991451858143085,0.7993072223770956,0.7992127816050536,0.7989138762203183,0.7985004892428833,0.7980305570465618,0.7975422595523047,0.7970606951747008,0.7966018834723433,0.7961753915074804,0.7957861836185621,0.7954359844962132,0.7951243045166282,0.794849212012928,0.7946079077612541,0.7943971428786306,0.7942135135304579,0.794053660383486,0.7939361043021037
India,2.4060632296325615,2.29394275495946,2.162299486604291,2.047203663477682,1.953178918929711,1.8785512992099471,1.8200847339990964,1.7745411213733986,1.7392108929622987,1.7120223894985724,1.6914708165425516,1.677685249157529,1.6695295828510615,1.6664278405558333,1.6682356482012064,1.6739573659305658,1.6818705174449475,1.6908660709431602,1.7002131773279012,1.7094313967975943,1.7182140791642642,1.7263780894544947,1.7338283991249024,1.7405319937387056,1.7464982457908702,1.7517641317066726,1.7563832348927657,1.7604177462372228,1.7639328227488107,1.7669927695809216,1.7692430559571108
Middle East,1.7031452549100419,1.6460319925163585,1.5789739770214006,1.5203450962053617,1.4724496522864492,1.4344349467717086,1.4046525516304063,1.3814530039489352,1.3634560715282058,1.3496064679036868,1.3391376629662979,1.3321154065086604,1.3279609760969564,1.3263809736745493,1.3273018562582928,1.330216452963063,1.3342473483023802,1.3388296104522486,1.3435909507973538,1.3482866371910314,1.352760464509284,1.3569191452787883,1.3607142727286212,1.3641290295718764,1.3671681900816373,1.3698505897496847,1.37220352352971,1.37425867095678,1.3760492224838359,1.3776079346355874,1.3787542123037735
Africa,2.1021014769903035,2.033074026393567,1.95202728422383,1.8811680476042338,1.823281310787618,1.7773364969757135,1.7413413056119627,1.713302185373815,1.6915509788851781,1.674812260242455,1.6621595963017874,1.6536724526788935,1.6486513817755233,1.646741780842492,1.6478547653646611,1.651377365398628,1.6562491310312302,1.6617872820825756,1.66754186817469,1.6732171044853583,1.6786242005125531,1.683650408425276,1.6882372234936553,1.6923643202382417,1.696037468875716,1.6992794341007198,1.702123204767129,1.7046070689616348,1.7067711408758393,1.708655010252936,1.7100404087014691
Latin America,0.7175101926501447,0.7320319310992459,0.7490822434281261,0.7639893462111081,0.7761673427104111,0.785833041841717,0.7934055763897983,0.7993043422709264,0.8038802802325599,0.8074017096349403,0.8100635300388864,0.8118490237635735,0.8129053379945467,0.8133070727399545,0.8130729271936669,0.8123318556936788,0.8113069517505319,0.8101418561202574,0.8089312276906965,0.8077372925731757,0.8065997678116887,0.8055423728757848,0.804577415773044,0.8037091725022738,0.8029364291467402,0.8022543965546106,0.8016561346534419,0.8011335885378913,0.8006783191334521,0.8002819976971253,0.7999905427216993
OHI,0.5397036386577475,0.582066638413053,0.6318060259903662,0.6752932154726191,0.7108190214584724,0.7390159216691158,0.7611066155851223,0.7783145702976174,0.7916635546102339,0.8019363131669479,0.809701409440804,0.8149100744010729,0.8179915676854401,0.8191635133847147,0.8184804610246363,0.816318597837065,0.813328735043094,0.809929903279719,0.8063982426562329,0.80291527997455,0.7995968782996111,0.7965122323691001,0.7936972472589794,0.7911643969672532,0.7889101402406135,0.7869205061045376,0.7851752488915911,0.7836508707296514,0.7823227530434356,0.7811665991181337,0.780316362963838
Other non-OECD Asia,1.328290530717752,1.3120890440974409,1.2930665002032171,1.2764350736606855,1.2628484326371479,1.2520646896506809,1.2436162302880094,1.2370351465675988,1.231929903974184,1.2280011463018843,1.2250314297069083,1.223039405625731,1.2218609061685246,1.2214127022482122,1.2216739317111094,1.2225007239050212,1.2236441798059932,1.2249440435469245,1.226294706924622,1.2276267460533963,1.2288958497676725,1.2300755549363394,1.2311521298687431,1.2321208039557925,1.232982931529533,1.2337438557091507,1.2344113193341977,1.2349943090312832,1.2355022400335187,1.2359444044803234,1.2362695724277655
