,epsilon_progress,nfe
0,0,0
1,3,100
2,12,1183
3,19,2254
4,26,3337
5,31,4419
6,37,5499
7,43,6580
8,46,7665
9,46,8741
10,46,9820
11,49,10885
12,52,11969
13,53,13050
14,56,14138
15,60,15211
16,61,16280
17,61,17362
18,61,18444
19,62,19525
20,63,20601
21,63,21679
22,64,22756
23,64,23834
24,64,24912
25,64,25987
26,64,27065
27,64,28140
28,64,29226
29,64,30300
30,64,31388
31,64,32472
32,64,33558
33,64,34633
34,64,35713
35,64,36790
36,65,37868
37,68,38955
38,72,40029
39,72,41109
40,72,42187
41,72,43265
42,72,44342
43,72,45420
44,72,46495
45,72,47573
46,72,48656
47,72,49732
48,72,50810
49,72,51889
50,72,52965
51,72,54040
52,72,55113
53,72,56195
54,72,57283
55,72,58361
56,72,59427
57,72,60502
58,72,61577
59,72,62656
60,72,63730
61,72,64804
62,72,65888
63,72,66968
64,72,68039
65,72,69107
66,72,70189
67,72,71269
68,72,72338
69,72,73417
70,72,74500
71,72,75578
72,72,76659
73,72,77738
74,72,78820
75,72,79900
76,72,80980
77,72,82055
78,72,83135
79,72,84194
80,72,85264
81,72,86342
82,72,87426
83,72,88502
84,72,89575
85,72,90653
86,72,91729
87,72,92803
88,72,93877
89,72,94950
90,72,96037
91,72,97119
92,72,98120
93,72,99129
94,72,100137
95,72,101138
96,72,102142
97,74,103144
98,74,104147
99,74,105150
100,74,106151
101,74,107151
102,74,108152
103,74,109155
104,75,110156
105,75,111163
106,75,112174
107,75,113175
108,75,114179
109,75,115179
110,75,116179
111,75,117190
112,75,118191
113,75,119194
114,75,120205
115,75,121205
116,75,122210
117,75,123210
118,75,124220
119,75,125228
120,75,126229
121,75,127239
122,75,128245
123,75,129248
124,75,130252
125,75,131263
126,75,132263
127,75,133271
128,75,134271
129,75,135280
130,75,136284
131,75,137284
132,75,138290
133,75,139293
134,75,140301
135,75,141301
136,75,142307
137,75,143312
138,75,144312
139,75,145315
140,75,146323
141,75,147333
142,75,148340
143,75,149346
144,75,150350
145,75,151352
146,75,152361
147,75,153361
148,75,154365
149,75,155368
150,75,156375
151,76,157386
152,76,158394
153,76,159399
154,76,160402
155,76,161407
156,76,162417
157,76,163418
158,76,164428
159,76,165432
160,76,166443
161,76,167449
162,76,168458
163,76,169460
164,76,170461
165,76,171462
166,76,172465
167,76,173475
168,76,174478
169,76,175479
170,76,176479
171,76,177487
172,76,178490
173,76,179497
174,76,180506
175,76,181506
176,76,182507
177,76,183507
178,76,184516
179,76,185516
180,76,186521
181,76,187522
182,76,188532
183,76,189536
184,77,190537
185,77,191542
186,77,192544
187,77,193546
188,77,194547
189,77,195551
190,77,196552
191,77,197557
192,77,198564
193,77,199574
