,epsilon_progress,nfe
0,0,0
1,11,100
2,84,1159
3,119,2217
4,124,3289
5,126,4353
6,131,5413
7,136,6461
8,141,7522
9,143,8583
10,143,9631
11,150,10631
12,152,11651
13,154,12653
14,154,13668
15,154,14678
16,154,15697
17,155,16709
18,155,17718
19,155,18735
20,155,19746
21,156,20764
22,156,21768
23,156,22779
24,156,23799
25,156,24812
26,156,25813
27,156,26817
28,157,27831
29,158,28852
30,158,29876
31,158,30884
32,158,31896
33,159,32911
34,159,33933
35,160,34947
36,160,35951
37,161,36961
38,161,37979
39,167,38984
40,167,39997
41,167,41020
42,167,42040
43,167,43052
44,167,44062
45,167,45071
46,168,46075
47,168,47076
48,168,48086
49,168,49097
50,169,50106
51,169,51120
52,169,52127
53,170,53133
54,170,54139
55,170,55154
56,171,56172
57,171,57187
58,171,58204
59,171,59210
60,172,60222
61,172,61243
62,172,62262
63,172,63265
64,172,64284
65,172,65298
66,173,66308
67,173,67317
68,176,68330
69,176,69346
70,176,70359
71,176,71367
72,176,72379
73,176,73388
74,176,74398
75,176,75411
76,176,76427
77,176,77449
78,176,78477
79,176,79490
80,177,80501
81,177,81508
82,177,82522
83,177,83527
84,177,84539
85,178,85541
86,178,86553
87,178,87563
88,178,88579
89,178,89588
90,178,90591
91,178,91605
92,178,92617
93,178,93617
94,178,94624
95,178,95633
96,178,96638
97,178,97653
98,178,98666
99,178,99678
100,178,100691
101,178,101700
102,179,102716
103,179,103727
104,179,104741
105,179,105754
106,179,106779
107,179,107795
108,179,108804
109,179,109816
110,179,110821
111,179,111842
112,179,112861
113,179,113877
114,179,114885
115,179,115901
116,179,116922
117,179,117927
118,179,118935
119,179,119955
120,179,120957
121,179,121966
122,179,122975
123,179,123993
124,179,125003
125,180,126020
126,180,127041
127,180,128060
128,180,129073
129,180,130087
130,180,131105
131,180,132108
132,180,133121
133,180,134128
134,182,135142
135,182,136154
136,182,137171
137,182,138180
138,182,139192
139,182,140194
140,182,141210
141,182,142212
142,182,143225
143,182,144232
144,182,145236
145,182,146254
146,182,147269
147,182,148275
148,182,149289
149,182,150299
150,182,151313
151,182,152316
152,182,153330
153,182,154347
154,182,155366
155,182,156369
156,182,157384
157,182,158389
158,182,159403
159,182,160423
160,182,161438
161,182,162448
162,182,163460
163,182,164482
164,182,165505
165,182,166511
166,182,167514
167,182,168524
168,182,169532
169,182,170540
170,182,171551
171,182,172569
172,182,173581
173,182,174598
174,182,175611
175,182,176627
176,182,177644
177,182,178654
178,182,179666
179,182,180674
180,182,181693
181,182,182697
182,183,183703
183,183,184719
184,183,185726
185,183,186754
186,183,187759
187,183,188763
188,183,189768
189,183,190779
190,183,191782
191,183,192792
192,183,193792
193,183,194809
194,183,195817
195,183,196838
196,183,197846
197,183,198872
198,183,199881
