,epsilon_progress,nfe
0,0,0
1,6,100
2,69,1166
3,107,2234
4,117,3279
5,127,4346
6,130,5406
7,132,6462
8,133,7525
9,133,8577
10,136,9637
11,147,10650
12,147,11668
13,147,12692
14,149,13720
15,156,14738
16,156,15765
17,158,16793
18,158,17827
19,158,18853
20,159,19879
21,159,20902
22,159,21932
23,159,22954
24,160,23978
25,162,25000
26,162,26030
27,163,27068
28,163,28100
29,163,29128
30,163,30149
31,163,31173
32,163,32191
33,163,33216
34,163,34232
35,163,35256
36,164,36295
37,164,37311
38,164,38335
39,164,39358
40,165,40376
41,165,41415
42,165,42440
43,165,43468
44,168,44485
45,168,45503
46,168,46532
47,168,47557
48,168,48587
49,168,49611
50,169,50637
51,169,51665
52,169,52695
53,169,53709
54,169,54730
55,169,55747
56,169,56775
57,169,57803
58,169,58847
59,169,59857
60,169,60882
61,169,61918
62,169,62944
63,174,63963
64,176,64995
65,178,66023
66,178,67057
67,178,68085
68,178,69110
69,178,70132
70,178,71148
71,178,72166
72,178,73187
73,178,74217
74,178,75230
75,179,76248
76,181,77272
77,181,78297
78,182,79327
79,182,80355
80,182,81379
81,182,82404
82,182,83422
83,182,84460
84,182,85485
85,182,86502
86,182,87539
87,182,88559
88,182,89578
89,182,90604
90,182,91632
91,182,92663
92,182,93685
93,183,94706
94,183,95727
95,183,96753
96,183,97779
97,183,98815
98,185,99852
99,185,100865
100,185,101883
101,186,102901
102,186,103927
103,187,104952
104,187,105978
105,187,107003
106,187,108018
107,188,109038
108,188,110055
109,189,111067
110,189,112104
111,189,113120
112,189,114142
113,189,115176
114,190,116192
115,190,117195
116,199,118214
117,199,119240
118,199,120250
119,199,121279
120,199,122312
121,199,123343
122,199,124373
123,199,125409
124,199,126431
125,199,127450
126,199,128479
127,200,129497
128,200,130516
129,200,131529
130,200,132545
131,200,133567
132,200,134582
133,200,135602
134,200,136628
135,200,137658
136,200,138676
137,200,139693
138,200,140716
139,200,141746
140,200,142759
141,200,143784
142,200,144808
143,200,145846
144,200,146852
145,200,147883
146,200,148922
147,200,149941
148,200,150965
149,200,151987
150,200,153005
151,201,154030
152,201,155052
153,201,156088
154,201,157115
155,201,158132
156,201,159147
157,201,160168
158,201,161192
159,202,162223
160,202,163242
161,202,164271
162,202,165298
163,202,166326
164,202,167357
165,202,168389
166,202,169411
167,202,170431
168,202,171457
169,205,172489
170,205,173524
171,205,174560
172,205,175603
173,205,176648
174,205,177683
175,205,178683
176,205,179728
177,205,180764
178,205,181794
179,205,182837
180,205,183884
181,205,184923
182,205,185973
183,205,187021
184,205,188059
185,205,189095
186,205,190124
187,205,191148
188,205,192196
189,205,193228
190,205,194272
191,205,195311
192,205,196351
193,205,197389
194,205,198417
195,205,199465
