,epsilon_progress,nfe
0,0,0
1,16,100
2,93,1162
3,127,2231
4,137,3286
5,143,4343
6,149,5403
7,151,6462
8,152,7530
9,153,8580
10,156,9631
11,164,10644
12,164,11662
13,164,12681
14,164,13693
15,164,14713
16,164,15726
17,164,16745
18,166,17754
19,166,18769
20,166,19776
21,166,20794
22,166,21815
23,166,22827
24,167,23848
25,169,24862
26,169,25864
27,169,26866
28,170,27878
29,170,28887
30,170,29914
31,170,30930
32,171,31957
33,172,32964
34,172,33979
35,172,34987
36,172,36003
37,172,37018
38,172,38020
39,173,39034
40,173,40059
41,173,41068
42,174,42071
43,174,43085
44,174,44103
45,174,45118
46,175,46141
47,175,47167
48,175,48179
49,175,49193
50,175,50209
51,175,51218
52,175,52224
53,175,53232
54,175,54240
55,176,55245
56,176,56264
57,176,57280
58,176,58294
59,177,59305
60,177,60320
61,178,61330
62,178,62354
63,178,63360
64,178,64373
65,178,65398
66,178,66414
67,178,67416
68,179,68439
69,179,69454
70,179,70468
71,179,71477
72,179,72490
73,179,73515
74,179,74521
75,179,75548
76,179,76553
77,179,77562
78,179,78585
79,180,79613
80,180,80618
81,180,81640
82,180,82658
83,180,83669
84,180,84691
85,180,85695
86,180,86697
87,180,87713
88,180,88732
89,181,89753
90,181,90761
91,181,91776
92,181,92776
93,181,93791
94,181,94818
95,181,95836
96,181,96865
97,181,97878
98,181,98894
99,181,99907
100,181,100924
101,181,101943
102,181,102952
103,181,103968
104,181,104991
105,181,106001
106,181,107009
107,181,108013
108,181,109018
109,181,110039
110,181,111047
111,181,112059
112,181,113075
113,181,114091
114,182,115105
115,182,116119
116,182,117122
117,182,118146
118,182,119155
119,182,120166
120,182,121169
121,184,122182
122,184,123193
123,184,124195
124,184,125209
125,186,126237
126,186,127264
127,186,128278
128,186,129287
129,186,130314
130,186,131316
131,186,132327
132,186,133333
133,187,134346
134,187,135358
135,187,136373
136,187,137386
137,187,138406
138,187,139412
139,187,140431
140,187,141441
141,187,142443
142,187,143454
143,187,144478
144,187,145494
145,187,146513
146,187,147517
147,187,148528
148,187,149547
149,187,150563
150,187,151570
151,187,152584
152,188,153595
153,189,154608
154,189,155616
155,189,156632
156,189,157642
157,189,158654
158,189,159680
159,189,160696
160,189,161723
161,189,162738
162,189,163752
163,189,164755
164,189,165775
165,189,166789
166,190,167796
167,190,168805
168,190,169825
169,190,170840
170,190,171847
171,190,172848
172,190,173861
173,190,174885
174,190,175901
175,190,176922
176,190,177928
177,190,178941
178,190,179946
179,190,180962
180,190,181964
181,190,182971
182,191,183980
183,191,184986
184,191,186002
185,191,187010
186,191,188033
187,191,189041
188,191,190046
189,191,191055
190,191,192082
191,191,193088
192,191,194096
193,191,195111
194,191,196119
195,191,197133
196,191,198155
197,191,199165
