,epsilon_progress,nfe
0,0,0
1,5,100
2,54,1167
3,92,2237
4,108,3297
5,123,4353
6,130,5410
7,138,6469
8,143,7528
9,147,8567
10,152,9629
11,164,10634
12,166,11647
13,166,12657
14,168,13671
15,171,14688
16,171,15708
17,172,16721
18,172,17733
19,173,18748
20,173,19759
21,173,20777
22,174,21788
23,174,22797
24,175,23855
25,175,24871
26,175,25880
27,175,26905
28,175,27914
29,175,28931
30,175,29944
31,175,30963
32,176,31986
33,176,32994
34,178,34016
35,178,35030
36,178,36052
37,179,37072
38,179,38080
39,180,39099
40,180,40106
41,180,41129
42,181,42145
43,181,43169
44,181,44187
45,181,45205
46,181,46219
47,181,47239
48,181,48263
49,181,49281
50,181,50301
51,181,51360
52,181,52369
53,182,53385
54,182,54388
55,182,55394
56,183,56398
57,184,57414
58,184,58420
59,184,59435
60,184,60445
61,184,61467
62,185,62485
63,185,63500
64,185,64512
65,185,65530
66,186,66545
67,186,67548
68,186,68561
69,193,69585
70,193,70621
71,193,71649
72,195,72692
73,195,73731
74,195,74783
75,195,75828
76,195,76857
77,195,77894
78,195,78936
79,197,79966
80,197,81016
81,197,82036
82,197,83084
83,197,84119
84,197,85162
85,197,86204
86,197,87237
87,197,88280
88,197,89322
89,197,90348
90,197,91397
91,197,92436
92,197,93466
93,199,94499
94,199,95540
95,199,96572
96,199,97595
97,199,98632
98,199,99672
99,199,100718
100,199,101756
101,199,102805
102,199,103854
103,199,104895
104,199,105930
105,199,106972
106,199,108012
107,200,109057
108,200,110086
109,200,111131
110,200,112161
111,200,113200
112,201,114234
113,201,115273
114,201,116299
115,201,117335
116,201,118373
117,201,119404
118,201,120436
119,204,121460
120,205,122494
121,205,123532
122,206,124559
123,206,125607
124,206,126637
125,206,127682
126,206,128718
127,206,129771
128,206,130797
129,206,131838
130,206,132868
131,206,133905
132,206,134940
133,206,135988
134,206,137028
135,206,138068
136,206,139115
137,206,140145
138,207,141187
139,207,142239
140,207,143284
141,207,144316
142,207,145357
143,207,146393
144,207,147428
145,207,148429
146,207,149467
147,207,150507
148,207,151552
149,208,152574
150,208,153618
151,208,154661
152,208,155701
153,208,156743
154,208,157774
155,208,158818
156,208,159822
157,208,160861
158,208,161902
159,208,162945
160,208,163987
161,208,165037
162,208,166077
163,208,167119
164,208,168161
165,208,169205
166,208,170246
167,208,171276
168,208,172313
169,208,173343
170,212,174382
171,212,175431
172,212,176458
173,212,177491
174,212,178523
175,212,179563
176,212,180607
177,212,181636
178,212,182672
179,212,183672
180,212,184701
181,212,185738
182,212,186781
183,212,187813
184,212,188863
185,212,189898
186,212,190933
187,212,191984
188,212,193018
189,212,194066
190,212,195094
191,212,196139
192,212,197179
193,212,198220
194,212,199265
