,Utility_2,Utility_3,Utility_4,Utility_5,Utility_6,Utility_7,Utility_8,Utility_9,Disutility_2,Disutility_3,Disutility_4,Disutility_5,Disutility_6,Disutility_7,Disutility_8,Disutility_9,Intratemporal consumption GINI_2,Intratemporal consumption GINI_3,Intratemporal consumption GINI_4,Intratemporal consumption GINI_5,Intratemporal consumption GINI_6,Intratemporal consumption GINI_7,Intratemporal consumption GINI_8,Intratemporal consumption GINI_9,Intratemporal damage GINI_2,Intratemporal damage GINI_3,Intratemporal damage GINI_4,Intratemporal damage GINI_5,Intratemporal damage GINI_6,Intratemporal damage GINI_7,Intratemporal damage GINI_8,Intratemporal damage GINI_9,Lowest income per capita_2,Lowest income per capita_3,Lowest income per capita_4,Lowest income per capita_5,Lowest income per capita_6,Lowest income per capita_7,Lowest income per capita_8,Lowest income per capita_9,Highest damage per capita_2,Highest damage per capita_3,Highest damage per capita_4,Highest damage per capita_5,Highest damage per capita_6,Highest damage per capita_7,Highest damage per capita_8,Highest damage per capita_9,Distance to consumption threshold_2,Distance to consumption threshold_3,Distance to consumption threshold_4,Distance to consumption threshold_5,Distance to consumption threshold_6,Distance to consumption threshold_7,Distance to consumption threshold_8,Distance to consumption threshold_9,Population below consumption threshold_2,Population below consumption threshold_3,Population below consumption threshold_4,Population below consumption threshold_5,Population below consumption threshold_6,Population below consumption threshold_7,Population below consumption threshold_8,Population below consumption threshold_9,Distance to damage threshold_2,Distance to damage threshold_3,Distance to damage threshold_4,Distance to damage threshold_5,Distance to damage threshold_6,Distance to damage threshold_7,Distance to damage threshold_8,Distance to damage threshold_9,Population above damage threshold_2,Population above damage threshold_3,Population above damage threshold_4,Population above damage threshold_5,Population above damage threshold_6,Population above damage threshold_7,Population above damage threshold_8,Population above damage threshold_9,Temperature overshoot_2,Temperature overshoot_3,Temperature overshoot_4,Temperature overshoot_5,Temperature overshoot_6,Temperature overshoot_7,Temperature overshoot_8,Temperature overshoot_9
0,0,0,1,0,1,0,7,7,0,0,1,0,1,1,0,0,0,0,1,1,0,6,6,6,1,0,0,1,1,0,7,7,0,2,0,0,0,6,6,6,1,0,1,1,0,6,6,6,0,2,2,0,0,6,6,6,0,2,0,0,2,2,2,0,1,0,1,1,0,6,6,6,1,0,0,0,0,6,6,6,0,0,3,3,3,3,7,7
1,0,2,2,2,5,5,5,5,0,0,1,0,5,5,5,5,0,0,0,4,4,4,4,4,1,0,0,4,4,4,4,4,0,2,0,0,2,0,7,7,1,0,1,1,0,0,7,7,0,2,2,0,0,5,5,5,0,2,0,0,2,2,2,0,1,0,0,0,5,5,5,5,1,0,0,4,4,4,4,4,1,1,1,4,4,1,1,0
2,0,0,3,1,0,6,6,6,0,0,0,1,0,6,6,6,0,0,0,0,1,0,0,8,0,1,1,0,0,6,6,6,0,2,0,1,1,1,0,0,1,0,3,3,1,1,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0,1,0,7,7,1,0,0,0,0,0,0,0,0,0,2,0,5,5,5,5
3,0,0,3,1,0,1,0,8,0,0,0,1,0,0,7,7,0,0,0,0,1,0,0,7,0,1,1,0,0,1,0,8,0,2,0,1,1,1,0,0,1,0,3,3,1,1,0,0,0,2,2,0,2,0,0,8,0,2,0,0,0,0,0,5,1,0,0,0,1,0,0,8,1,0,0,0,0,0,7,7,0,0,2,0,2,2,0,8
4,1,1,0,4,4,4,4,4,0,2,2,2,2,2,2,2,0,2,2,2,5,5,5,5,0,2,2,2,5,5,5,5,0,2,0,0,2,0,4,4,1,0,1,1,0,0,4,4,0,2,2,0,2,0,7,7,0,2,0,0,0,0,7,7,0,2,2,2,2,2,2,2,0,2,2,2,5,5,5,5,0,2,0,2,0,6,6,6
5,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,3,3,3,3,8,0,1,0,0,5,5,5,5,0,0,0,4,4,4,4,4,0,0,3,3,3,3,3,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,3,3
6,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,8,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,2,0,1,1,1,0,3,1,0,3,3,1,1,0,8,0,2,2,0,2,0,0,0,0,2,0,0,0,6,6,6,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,8,0,2,0,1,1,0,2,2
7,1,1,0,3,3,3,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,3,7,3,1,0,3,3,3,3,3,3,1,1,1,4,4,4,1,1,0,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,1,1,1,4,4,4,4,4,0,1,3,3,3,3,3,3,0,1,3,3,3,3,3,3,0,2,0,2,0,4,4,4
8,0,0,3,1,0,1,0,1,0,0,0,1,0,0,4,4,0,0,0,0,1,0,3,1,0,1,1,0,0,1,0,1,0,0,2,2,5,5,5,5,0,1,0,0,3,3,3,3,0,0,0,2,5,2,2,2,0,0,2,2,5,5,5,2,1,0,0,0,1,0,0,4,1,0,0,0,2,2,2,2,0,0,2,0,2,2,0,1
9,0,0,1,0,2,2,2,2,0,0,0,4,4,4,1,1,0,0,0,0,2,2,2,2,0,1,1,0,2,2,2,2,0,2,0,0,0,2,2,2,0,1,0,4,4,4,1,1,0,0,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,0,0,4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,4,4,1,1,0
