,emdd,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index
3,0.3814102236396774,9791.267411388795,1.0,0.0,0.0,0.0,0.0,0.0,598.0
4,0.0076881860715195,9394.089046043851,0.0,2.0,0.0,5.0,0.0,0.0,567.0
10,0.4089787114759918,13118.459344513109,0.0,1.0,0.0,5.0,2.0,0.0,970.0
15,0.4294773580194552,5988.483272375714,1.0,0.0,0.0,3.0,2.0,2.0,323.0
18,0.0385719467857055,11458.244002221973,1.0,2.0,0.0,2.0,0.0,1.0,738.0
46,0.5751992009928713,8033.632787503213,0.0,1.0,0.0,4.0,2.0,1.0,20.0
49,0.0462045680032332,5304.101028247327,0.0,2.0,0.0,3.0,0.0,2.0,894.0
50,0.2015082957201487,5210.5689555474855,1.0,0.0,0.0,1.0,0.0,1.0,524.0
57,0.5543188506031387,11042.840512343906,0.0,2.0,0.0,0.0,0.0,2.0,651.0
69,0.1515425963213031,4362.210793424579,0.0,0.0,0.0,4.0,1.0,2.0,807.0
74,0.0201302797391428,8401.043623504607,0.0,0.0,0.0,5.0,0.0,0.0,815.0
82,0.5053260211030848,11792.555415899733,0.0,0.0,0.0,4.0,1.0,1.0,107.0
84,0.2846402468719821,10863.441561121988,1.0,0.0,0.0,2.0,0.0,1.0,999.0
87,0.2704583097489494,7839.5249485036275,0.0,2.0,0.0,1.0,2.0,1.0,66.0
123,0.0044479462431878,13271.399595809737,0.0,1.0,0.0,5.0,1.0,2.0,189.0
127,0.4041740208669988,5543.820142068172,0.0,0.0,0.0,5.0,2.0,0.0,578.0
133,0.343850666792024,11518.310865981415,0.0,0.0,1.0,4.0,2.0,2.0,800.0
140,0.0734068260115363,4795.866681253825,1.0,2.0,0.0,5.0,1.0,2.0,889.0
150,0.0798133120908564,13180.466276771092,0.0,1.0,1.0,5.0,2.0,2.0,678.0
151,0.1373358308179041,6477.4417782547935,1.0,0.0,0.0,0.0,0.0,0.0,530.0
152,0.0539273448981179,4342.143183143229,1.0,2.0,1.0,3.0,2.0,2.0,857.0
159,0.0980571213080105,10832.803866213791,0.0,2.0,0.0,2.0,0.0,1.0,173.0
167,0.1492268179890279,12923.475811458127,0.0,0.0,0.0,2.0,0.0,2.0,360.0
169,0.0332495255436902,5009.354387639002,1.0,0.0,0.0,4.0,0.0,0.0,780.0
