,epsilon_progress,nfe
0,0,0
1,0,100
2,2,1100
3,2,2100
4,2,3100
5,2,4100
6,2,5100
7,2,6100
8,2,7100
9,2,8100
10,2,9100
11,2,10100
12,2,11100
13,2,12100
14,2,13100
15,2,14100
16,2,15100
17,2,16100
18,2,17100
19,2,18100
20,2,19100
21,2,20100
22,2,21100
23,2,22100
24,2,23100
25,2,24100
26,2,25100
27,2,26100
28,2,27100
29,2,28100
30,2,29100
31,2,30100
32,2,31100
33,2,32100
34,2,33100
35,2,34100
36,2,35100
37,2,36100
38,2,37100
39,2,38100
40,2,39100
41,2,40100
42,2,41100
43,2,42100
44,2,43100
45,2,44100
46,2,45100
47,2,46100
48,2,47100
49,2,48100
50,2,49100
51,2,50100
52,2,51100
53,2,52100
54,2,53100
55,2,54100
56,2,55100
57,2,56100
58,2,57100
59,2,58100
60,2,59100
61,2,60100
62,2,61100
63,2,62100
64,2,63100
65,2,64100
66,2,65100
67,2,66100
68,2,67100
69,2,68100
70,2,69100
71,2,70100
72,2,71100
73,2,72100
74,2,73100
75,2,74100
76,2,75100
77,2,76100
78,2,77100
79,2,78100
80,2,79100
81,2,80100
82,2,81100
83,2,82100
84,2,83100
85,2,84100
86,2,85100
87,2,86100
88,2,87100
89,2,88100
90,2,89100
91,2,90100
92,2,91100
93,2,92100
94,2,93100
95,2,94100
96,2,95100
97,2,96100
98,2,97100
99,2,98100
100,2,99100
