,epsilon_progress,nfe
0,0,0
1,66,100
2,232,1100
3,368,2100
4,465,3100
5,543,4100
6,611,5100
7,661,6100
8,714,7100
9,760,8100
10,807,9100
11,848,10726
12,887,12662
13,943,14598
14,986,16534
15,1025,18470
16,1052,20406
17,1084,22342
18,1107,24278
19,1123,26214
20,1146,28150
21,1164,30086
22,1175,32022
23,1188,33958
24,1198,35894
25,1211,37830
26,1222,39766
27,1233,41702
28,1242,43638
29,1253,45574
30,1275,47510
31,1287,49446
32,1301,51382
33,1309,53318
34,1316,55254
35,1328,57190
36,1338,59126
37,1345,61062
38,1354,62998
39,1362,64934
40,1371,66870
41,1376,68806
42,1386,70742
43,1395,72678
44,1407,74614
45,1418,76550
46,1426,78486
47,1429,80422
48,1436,82358
49,1440,84294
50,1446,86230
51,1451,88166
52,1454,90102
53,1461,92038
54,1469,93974
55,1472,95910
56,1477,97846
57,1479,99782
