,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,221,1,10812.093535243072,4,11208.5593520342,16.436199827753573,0.2845061245708761,0.5810668746593397,4.0
1,46,1,13564.687019290719,3,11277.25279833522,7.324091505093954,0.2831403586103743,0.6642053981250904,0.0
2,437,2,7984.081743355509,5,11233.724386195847,15.65531457697494,0.2840785301310961,0.5980619099822498,0.0
3,671,0,6486.347685646232,1,11183.603843087369,30.04252503614607,0.28488503735383514,0.5691798240614366,5.0
4,527,0,10617.721997869705,1,11247.456081664339,14.376405301046814,0.28381769884658437,0.6110611547826481,0.0
5,511,1,13393.070090956988,5,11176.17453691653,42.38955899909687,0.2849913037995591,0.5662839485819489,5.0
6,320,2,13297.019012770726,2,11278.718887623882,10.34903563472281,0.28310111512695624,0.6690635546712002,0.0
7,864,2,13010.48675206048,2,11189.958530744982,30.471686329779885,0.2847919560285144,0.5718641766705993,5.0
8,317,0,10670.384678517805,2,11142.149108274149,36.54350358946104,0.28545824854202967,0.557344423065609,6.0
9,857,2,11195.129236289431,2,11006.330100567484,50.8509291153635,0.2871015634665864,0.5430171495581959,7.0
10,847,1,10066.938718870251,3,11262.06280845333,13.224466854859468,0.2835095904659571,0.6295249150208749,0.0
11,948,0,10389.898000731959,3,11147.99296263159,35.31550838420388,0.28538166592202313,0.5588401241763202,6.0
12,572,2,11610.327728870141,0,11207.914622331977,33.32621487285019,0.2845163629226658,0.580706451041211,4.0
13,853,0,12570.734457506904,5,11196.99163374642,40.0542553382281,0.2846863690680514,0.5750877200512188,5.0
14,998,2,11688.586618600795,2,11215.504241076014,21.036266223995057,0.28439346077251504,0.5851368250356626,3.0
15,939,1,5547.408034319898,5,11245.858556110958,12.772273033878028,0.28384930458848673,0.6093543152946046,0.0
16,628,2,11062.695002189084,3,11207.408838312978,24.46135467306146,0.2845244495080911,0.5804299311918566,4.0
17,972,1,5031.032872818718,5,11107.203972015424,45.03783256815819,0.28592299982571084,0.5528349115441615,7.0
