,epsilon_progress,nfe
0,0,0
1,8,100
2,9,1100
3,9,2100
4,10,3100
5,10,4100
6,10,5100
7,10,6100
8,10,7100
9,10,8100
10,10,9100
11,11,10100
12,11,11100
13,11,12100
14,11,13100
15,11,14100
16,11,15100
17,12,16100
18,12,17100
19,12,18100
20,12,19100
21,12,20100
22,12,21100
23,12,22100
24,12,23100
25,12,24100
26,12,25100
27,12,26100
28,12,27100
29,12,28100
30,12,29100
31,12,30100
32,12,31100
33,12,32100
34,12,33100
35,12,34100
36,12,35100
37,12,36100
38,12,37100
39,12,38100
40,12,39100
41,12,40100
42,12,41100
43,12,42100
44,12,43100
45,12,44100
46,12,45100
47,12,46100
48,12,47100
49,12,48100
50,12,49100
51,12,50100
52,12,51100
53,12,52100
54,12,53100
55,12,54100
56,12,55100
57,12,56100
58,12,57100
59,12,58100
60,12,59100
61,12,60100
62,12,61100
63,12,62100
64,12,63100
65,12,64100
66,12,65100
67,12,66100
68,12,67100
69,12,68100
70,12,69100
71,12,70100
72,12,71100
73,12,72100
74,12,73100
75,12,74100
76,12,75100
77,12,76100
78,12,77100
79,12,78100
80,12,79100
81,12,80100
82,12,81100
83,12,82100
84,12,83100
85,12,84100
86,12,85100
87,12,86100
88,12,87100
89,12,88100
90,12,89100
91,12,90100
92,12,91100
93,12,92100
94,12,93100
95,12,94100
96,12,95100
97,12,96100
98,12,97100
99,12,98100
100,12,99100
