,epsilon_progress,nfe
0,0,0
1,12,100
2,21,1100
3,31,2100
4,35,3100
5,43,4100
6,45,5100
7,49,6100
8,52,7100
9,55,8100
10,56,9100
11,58,10104
12,59,11116
13,59,12128
14,59,13140
15,59,14152
16,59,15164
17,59,16176
18,59,17188
19,59,18200
20,59,19212
21,59,20224
22,59,21236
23,59,22248
24,59,23260
25,59,24272
26,59,25284
27,59,26296
28,59,27308
29,59,28320
30,59,29332
31,59,30344
32,59,31356
33,64,32362
34,64,33374
35,65,34382
36,65,35390
37,65,36398
38,65,37406
39,65,38414
40,65,39422
41,65,40430
42,65,41438
43,65,42446
44,65,43454
45,65,44462
46,65,45470
47,65,46478
48,65,47486
49,68,48490
50,71,49498
51,71,50506
52,71,51514
53,71,52522
54,71,53530
55,71,54538
56,71,55546
57,71,56554
58,71,57562
59,71,58570
60,71,59578
61,71,60586
62,71,61594
63,73,62600
64,74,63608
65,74,64616
66,74,65624
67,74,66632
68,74,67640
69,74,68648
70,74,69656
71,74,70664
72,74,71672
73,74,72680
74,74,73688
75,74,74696
76,74,75704
77,74,76712
78,74,77720
79,75,78724
80,75,79732
81,75,80740
82,75,81748
83,75,82756
84,75,83764
85,75,84772
86,75,85780
87,75,86788
88,75,87796
89,75,88804
90,75,89812
91,75,90820
92,75,91828
93,75,92836
94,75,93844
95,76,94848
96,76,95856
97,76,96864
98,76,97872
99,76,98880
100,76,99888
