,epsilon_progress,nfe
0,0,0
1,9,100
2,10,1100
3,10,2100
4,10,3100
5,10,4100
6,10,5100
7,10,6100
8,10,7100
9,10,8100
10,10,9100
11,11,10108
12,12,11116
13,12,12124
14,12,13132
15,12,14140
16,12,15148
17,12,16156
18,12,17164
19,12,18172
20,12,19180
21,12,20188
22,12,21196
23,12,22204
24,12,23212
25,13,24218
26,13,25218
27,13,26218
28,13,27218
29,13,28218
30,13,29218
31,13,30218
32,13,31218
33,13,32218
34,13,33218
35,13,34220
36,13,35228
37,13,36236
38,13,37244
39,13,38252
40,13,39260
41,13,40268
42,13,41276
43,13,42284
44,13,43292
45,13,44300
46,13,45308
47,13,46314
48,13,47322
49,13,48330
50,13,49338
51,13,50346
52,13,51354
53,13,52362
54,13,53370
55,13,54378
56,13,55386
57,13,56394
58,13,57402
59,13,58408
60,13,59416
61,13,60424
62,13,61432
63,13,62440
64,13,63448
65,13,64456
66,13,65464
67,13,66472
68,13,67480
69,13,68488
70,13,69496
71,13,70502
72,13,71510
73,13,72518
74,13,73526
75,13,74534
76,13,75542
77,13,76550
78,13,77558
79,13,78566
80,13,79574
81,13,80582
82,13,81590
83,13,82596
84,13,83604
85,13,84612
86,13,85620
87,13,86628
88,13,87636
89,13,88644
90,13,89652
91,13,90660
92,13,91668
93,13,92676
94,13,93684
95,13,94690
96,13,95698
97,13,96706
98,13,97714
99,13,98722
100,13,99730
