,epsilon_progress,nfe
0,0,0
1,3,100
2,6,1100
3,7,2100
4,7,3100
5,7,4100
6,7,5100
7,7,6100
8,7,7100
9,7,8100
10,7,9100
11,7,10104
12,7,11116
13,7,12128
14,7,13140
15,7,14152
16,7,15164
17,7,16176
18,7,17188
19,7,18200
20,7,19212
21,7,20224
22,7,21236
23,7,22248
24,7,23260
25,7,24272
26,7,25284
27,7,26296
28,7,27308
29,7,28320
30,7,29332
31,7,30344
32,7,31356
33,8,32362
34,8,33374
35,8,34386
36,8,35398
37,8,36410
38,8,37422
39,8,38434
40,8,39446
41,8,40458
42,8,41470
43,8,42482
44,8,43494
45,8,44506
46,8,45518
47,8,46530
48,8,47542
49,8,48554
50,8,49566
51,8,50578
52,8,51590
53,8,52602
54,8,53614
55,10,54620
56,12,55632
57,13,56644
58,13,57652
59,13,58660
60,13,59668
61,13,60676
62,13,61684
63,13,62692
64,13,63700
65,13,64708
66,13,65716
67,13,66724
68,13,67732
69,13,68740
70,13,69748
71,13,70756
72,13,71764
73,14,72782
74,14,73794
75,16,74806
76,16,75818
77,16,76830
78,16,77842
79,16,78854
80,16,79866
81,16,80878
82,16,81890
83,16,82902
84,16,83914
85,16,84926
86,16,85938
87,16,86950
88,16,87962
89,16,88974
90,16,89986
91,16,90998
92,16,92010
93,16,93022
94,16,94034
95,18,95048
96,18,96068
97,18,97088
98,19,98108
99,20,99128
