,epsilon_progress,nfe
0,0,0
1,6,100
2,7,1100
3,7,2100
4,7,3100
5,7,4100
6,7,5100
7,7,6100
8,7,7100
9,7,8100
10,7,9100
11,7,10100
12,7,11100
13,7,12100
14,7,13100
15,7,14100
16,7,15100
17,7,16100
18,7,17100
19,7,18100
20,7,19100
21,7,20100
22,7,21100
23,7,22100
24,7,23100
25,7,24100
26,7,25100
27,7,26100
28,7,27100
29,7,28100
30,7,29100
31,7,30100
32,7,31100
33,7,32100
34,7,33100
35,7,34100
36,7,35100
37,7,36100
38,7,37100
39,7,38100
40,7,39100
41,7,40100
42,7,41100
43,7,42100
44,7,43100
45,7,44100
46,7,45100
47,7,46100
48,7,47100
49,7,48100
50,7,49100
51,7,50100
52,7,51100
53,7,52100
54,7,53100
55,7,54100
56,7,55100
57,7,56100
58,7,57100
59,7,58100
60,7,59100
61,7,60100
62,7,61100
63,7,62100
64,7,63100
65,7,64100
66,7,65100
67,7,66100
68,7,67100
69,7,68100
70,7,69100
71,7,70100
72,7,71100
73,7,72100
74,7,73100
75,7,74100
76,7,75100
77,7,76100
78,7,77100
79,7,78100
80,7,79100
81,7,80100
82,7,81100
83,7,82100
84,7,83100
85,7,84100
86,7,85100
87,7,86100
88,7,87100
89,7,88100
90,7,89100
91,7,90100
92,7,91100
93,7,92100
94,7,93100
95,7,94100
96,7,95100
97,7,96100
98,7,97100
99,7,98100
100,7,99100
