,epsilon_progress,nfe
0,0,0
1,10,100
2,20,1100
3,22,2100
4,22,3100
5,22,4100
6,22,5100
7,22,6100
8,22,7100
9,22,8100
10,22,9100
11,22,10100
12,22,11100
13,22,12100
14,22,13100
15,22,14100
16,22,15100
17,22,16100
18,22,17100
19,22,18100
20,22,19100
21,22,20100
22,22,21100
23,22,22100
24,22,23100
25,22,24100
26,22,25100
27,22,26100
28,22,27100
29,22,28100
30,23,29100
31,23,30100
32,23,31100
33,23,32100
34,23,33100
35,23,34100
36,23,35100
37,23,36100
38,23,37100
39,23,38100
40,23,39100
41,23,40100
42,23,41100
43,23,42100
44,23,43100
45,23,44100
46,23,45100
47,23,46100
48,23,47100
49,23,48100
50,23,49100
51,23,50100
52,23,51100
53,23,52100
54,23,53100
55,23,54100
56,23,55100
57,23,56100
58,23,57100
59,23,58100
60,23,59100
61,23,60100
62,23,61100
63,23,62100
64,23,63100
65,23,64100
66,23,65100
67,23,66100
68,23,67100
69,23,68100
70,23,69100
71,23,70100
72,23,71100
73,23,72100
74,23,73100
75,23,74100
76,23,75100
77,23,76100
78,23,77100
79,23,78100
80,23,79100
81,23,80100
82,23,81100
83,23,82100
84,23,83100
85,23,84100
86,23,85100
87,23,86100
88,23,87100
89,23,88100
90,23,89100
91,23,90100
92,23,91100
93,23,92100
94,23,93100
95,23,94100
96,23,95100
97,23,96100
98,23,97100
99,23,98100
100,23,99100
