,epsilon_progress,nfe
0,0,0
1,10,100
2,16,1100
3,16,2100
4,16,3100
5,16,4100
6,16,5100
7,16,6100
8,16,7100
9,16,8100
10,16,9100
11,17,10100
12,17,11100
13,17,12100
14,17,13100
15,17,14100
16,17,15100
17,17,16100
18,17,17100
19,17,18100
20,17,19100
21,17,20100
22,17,21100
23,17,22100
24,17,23100
25,17,24100
26,17,25100
27,17,26100
28,17,27100
29,17,28100
30,17,29100
31,17,30100
32,17,31100
33,17,32100
34,17,33100
35,17,34100
36,17,35100
37,17,36100
38,17,37100
39,17,38100
40,17,39100
41,17,40100
42,17,41100
43,17,42100
44,17,43100
45,17,44100
46,17,45100
47,17,46100
48,17,47100
49,17,48100
50,17,49100
51,17,50100
52,17,51100
53,17,52100
54,17,53100
55,17,54100
56,17,55100
57,17,56100
58,17,57100
59,17,58100
60,17,59100
61,17,60100
62,17,61100
63,17,62100
64,17,63100
65,17,64100
66,17,65100
67,17,66100
68,17,67100
69,17,68100
70,17,69100
71,17,70100
72,17,71100
73,17,72100
74,17,73100
75,17,74100
76,17,75100
77,17,76100
78,17,77100
79,17,78100
80,17,79100
81,17,80100
82,17,81100
83,17,82100
84,17,83100
85,17,84100
86,17,85100
87,17,86100
88,17,87100
89,17,88100
90,17,89100
91,17,90100
92,17,91100
93,17,92100
94,17,93100
95,17,94100
96,17,95100
97,17,96100
98,17,97100
99,17,98100
100,17,99100
101,17,100108
102,17,101108
103,17,102108
104,17,103108
105,17,104108
106,17,105108
107,17,106108
108,17,107108
109,17,108108
110,17,109108
111,17,110116
112,17,111116
113,17,112116
114,17,113116
115,17,114116
116,17,115116
117,17,116116
118,17,117116
119,17,118116
120,17,119116
121,17,120124
122,18,121124
123,18,122124
124,18,123124
125,18,124124
126,18,125124
127,18,126124
128,19,127124
129,19,128124
130,19,129124
131,20,130132
132,20,131132
133,20,132132
134,20,133132
135,20,134132
136,20,135132
137,20,136132
138,20,137132
139,20,138132
140,20,139132
141,20,140140
142,20,141148
143,20,142156
144,20,143164
145,20,144172
146,20,145180
147,20,146188
148,20,147196
149,20,148204
150,20,149212
151,20,150220
152,20,151228
153,20,152236
154,20,153244
155,20,154248
156,20,155256
157,20,156264
158,20,157272
159,20,158280
160,20,159288
161,20,160296
162,20,161304
163,20,162312
164,20,163320
165,20,164328
166,20,165336
167,20,166344
168,20,167352
169,20,168356
170,20,169364
171,20,170372
172,20,171380
173,20,172388
174,20,173396
175,20,174404
176,20,175412
177,20,176420
178,20,177428
179,20,178436
180,20,179444
181,20,180452
182,20,181460
183,20,182464
184,20,183472
185,20,184480
186,20,185488
187,20,186496
188,20,187504
189,20,188512
190,20,189520
191,20,190528
192,20,191536
193,20,192544
194,20,193552
195,20,194560
196,20,195568
197,20,196572
198,20,197580
199,20,198588
200,20,199596
