,epsilon_progress,nfe
0,0,0
1,10,100
2,23,1100
3,24,2100
4,29,3100
5,32,4100
6,33,5100
7,34,6100
8,34,7100
9,34,8100
10,34,9100
11,36,10108
12,38,11116
13,38,12124
14,38,13132
15,38,14140
16,38,15148
17,38,16156
18,38,17164
19,38,18172
20,38,19180
21,38,20188
22,38,21196
23,38,22204
24,38,23212
25,38,24212
26,38,25220
27,38,26228
28,38,27236
29,38,28244
30,38,29252
31,38,30260
32,38,31268
33,38,32276
34,38,33284
35,38,34292
36,38,35300
37,38,36306
38,38,37314
39,38,38322
40,38,39330
41,38,40338
42,38,41346
43,38,42354
44,38,43362
45,38,44370
46,38,45378
47,38,46386
48,38,47394
49,38,48400
50,38,49408
51,38,50416
52,38,51424
53,38,52432
54,38,53440
55,38,54448
56,38,55456
57,38,56464
58,38,57472
59,38,58480
60,38,59488
61,38,60494
62,38,61502
63,38,62510
64,38,63518
65,38,64526
66,38,65534
67,38,66542
68,38,67550
69,38,68558
70,38,69566
71,38,70574
72,38,71582
73,39,72588
74,39,73596
75,39,74604
76,39,75612
77,39,76620
78,39,77628
79,39,78636
80,39,79644
81,39,80652
82,39,81660
83,39,82668
84,39,83676
85,39,84682
86,39,85690
87,39,86698
88,39,87706
89,39,88714
90,39,89722
91,39,90730
92,39,91738
93,39,92746
94,39,93754
95,39,94762
96,39,95770
97,40,96776
98,40,97784
99,40,98792
100,40,99800
101,40,100808
102,40,101816
103,40,102824
104,40,103832
105,40,104840
106,40,105848
107,40,106856
108,40,107864
109,40,108870
110,40,109878
111,40,110886
112,40,111894
113,40,112902
114,40,113910
115,40,114918
116,40,115926
117,40,116934
118,40,117942
119,40,118950
120,40,119958
121,40,120964
122,40,121972
123,40,122980
124,40,123988
125,40,124996
126,40,126004
127,40,127012
128,40,128020
129,40,129028
130,40,130036
131,40,131044
132,40,132052
133,41,133058
134,41,134066
135,41,135074
136,41,136082
137,41,137090
138,41,138098
139,41,139106
140,41,140114
141,41,141122
142,41,142130
143,41,143138
144,41,144144
145,41,145152
146,41,146160
147,41,147168
148,41,148176
149,41,149184
150,41,150192
151,41,151200
152,41,152208
153,41,153216
154,41,154224
155,41,155232
156,41,156238
157,42,157246
158,44,158254
159,44,159262
160,44,160270
161,44,161278
162,44,162286
163,44,163294
164,44,164302
165,44,165310
166,44,166318
167,44,167326
168,45,168336
169,45,169344
170,45,170352
171,45,171360
172,45,172368
173,45,173376
174,45,174384
175,45,175392
176,45,176400
177,45,177408
178,45,178416
179,45,179424
180,45,180432
181,45,181440
182,46,182440
183,47,183448
184,47,184456
185,48,185464
186,48,186472
187,48,187480
188,50,188488
189,50,189496
190,50,190504
191,50,191512
192,50,192520
193,50,193528
194,50,194536
195,50,195544
196,50,196552
197,50,197560
198,52,198564
199,52,199576
