,epsilon_progress,nfe
0,0,0
1,9,100
2,14,1100
3,15,2100
4,17,3100
5,17,4100
6,17,5100
7,17,6100
8,17,7100
9,17,8100
10,17,9100
11,18,10100
12,18,11100
13,19,12100
14,19,13100
15,19,14100
16,19,15100
17,19,16100
18,19,17100
19,20,18100
20,20,19100
21,22,20108
22,24,21116
23,24,22124
24,24,23132
25,24,24140
26,24,25148
27,24,26156
28,24,27164
29,24,28172
30,24,29180
31,24,30188
32,24,31196
33,24,32204
34,24,33212
35,28,34212
36,28,35220
37,28,36228
38,28,37236
39,28,38244
40,28,39252
41,28,40260
42,28,41268
43,28,42276
44,28,43284
45,28,44292
46,28,45300
47,29,46308
48,30,47308
49,30,48308
50,30,49308
51,30,50308
52,30,51308
53,30,52308
54,30,53308
55,30,54308
56,30,55308
57,31,56316
58,31,57316
59,31,58316
60,31,59316
61,31,60316
62,31,61316
63,31,62316
64,31,63316
65,31,64316
66,31,65316
67,31,66324
68,31,67324
69,31,68324
70,31,69324
71,31,70324
72,31,71324
73,31,72324
74,31,73324
75,31,74324
76,31,75324
77,31,76332
78,31,77332
79,31,78332
80,31,79332
81,31,80332
82,31,81332
83,31,82332
84,31,83332
85,31,84332
86,31,85332
87,31,86340
88,31,87340
89,31,88340
90,31,89340
91,31,90340
92,31,91340
93,31,92340
94,31,93340
95,31,94340
96,31,95340
97,31,96348
98,31,97348
99,31,98348
100,31,99348
101,31,100348
102,31,101348
103,31,102348
104,31,103348
105,31,104348
106,31,105348
107,33,106356
108,33,107356
109,33,108356
110,33,109356
111,33,110356
112,33,111356
113,33,112356
114,33,113356
115,33,114356
116,33,115356
117,34,116364
118,34,117364
119,34,118364
120,34,119364
121,34,120364
122,34,121364
123,34,122364
124,34,123364
125,34,124364
126,34,125364
127,34,126372
128,34,127372
129,34,128372
130,34,129372
131,34,130372
132,34,131372
133,34,132372
134,34,133372
135,34,134372
136,34,135372
137,35,136380
138,35,137380
139,35,138380
140,35,139380
141,35,140380
142,35,141380
143,35,142380
144,35,143380
145,35,144380
146,35,145380
147,35,146388
148,35,147388
149,35,148388
150,35,149388
151,35,150388
152,35,151388
153,35,152388
154,35,153388
155,35,154388
156,35,155388
157,35,156396
158,35,157396
159,35,158396
160,35,159396
161,35,160396
162,35,161396
163,35,162396
164,35,163396
165,35,164396
166,35,165396
167,37,166404
168,37,167404
169,37,168404
170,37,169404
171,37,170404
172,37,171404
173,37,172404
174,37,173404
175,37,174404
176,37,175404
177,39,176412
178,39,177412
179,39,178412
180,39,179412
181,39,180412
182,39,181412
183,39,182412
184,39,183412
185,39,184412
186,39,185412
187,39,186420
188,39,187420
189,39,188420
190,39,189420
191,39,190420
192,39,191420
193,39,192420
194,39,193420
195,39,194420
196,39,195420
197,41,196428
198,41,197428
199,41,198428
200,41,199428
